quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,3000000.0,0.0,0.0
1998Q1,10000000.0,1257,ok,0.0,3000000.0,2478200.0,901885.25
1998Q2,10901885.25,493,ok,2478200.0,3270565.5749999997,2713259.375,-122654.90625
1998Q3,10779230.34375,1037,ok,232265.625,3233769.103125,2807434.375,-660633.1875
1998Q4,10118597.15625,287,ok,2522428.125,3035579.146875,2691396.875,415993.4375
1999Q1,10534590.59375,906,ok,167356.25,3160377.178125,2619646.875,-258687.46875
1999Q2,10275903.125,360,ok,2452290.625,3082770.9375,2635496.875,563956.9375
1999Q3,10839860.0625,1050,ok,183206.25,3251958.01875,2679062.5,-357778.8125
1999Q4,10482081.25,473,ok,2481137.5,3144624.375,2754112.5,5373.25
2000Q1,10487454.5,860,ok,271878.125,3146236.35,2195856.25,365211.90625
2000Q2,10852666.40625,551,ok,1915471.875,3255799.921875,2757475.0,-156341.34375
2000Q3,10696325.0625,711,ok,841453.125,3208897.51875,2463065.625,234444.125
2000Q4,10930769.1875,555,ok,1615537.5,3279230.75625,2917403.75,65355.8875
2001Q1,10996125.075,716,ok,1289444.375,3298837.5224999995,2841711.25,-128788.00625
2001Q2,10867337.06875,768,ok,1549366.875,3260201.120625,2838056.875,283325.55
2001Q3,11150662.61875,904,ok,1283612.5,3345198.785625,3062127.5,-335527.95
2001Q4,10815134.668750001,818,ok,1778950.0,3244540.4006250002,2929460.0,417505.2
2002Q1,11232639.86875,1047,ok,1141267.5,3369791.960625,3088045.0,823456.675
2002Q2,12056096.543750001,1038,ok,1946777.5,3616828.9631250002,3378540.0,-74192.875
2002Q3,11981903.668750001,709,ok,1416367.5,3594571.1006250004,3471755.0,148943.375
2002Q4,12130847.043750001,736,ok,2035425.0,3639254.113125,3446070.0,-179649.35
2003Q1,11951197.693750001,912,ok,1403057.5,3585359.3081250004,3472212.5,-226079.65
2003Q2,11725118.043750001,1110,ok,2061307.5,3517535.4131250004,3347727.5,2659157.4
2003Q3,14384275.443750001,1261,ok,1279902.5,4315282.633125001,4088115.0,711873.625
2003Q4,15096149.068750001,1242,ok,2793677.5,4528844.720625,4279870.0,1460101.725
2004Q1,16556250.793750001,1416,ok,1474395.0,4966875.238125,4738817.5,890622.325
2004Q2,17446873.118750002,1329,ok,3264422.5,5234061.935625001,5019807.5,398715.95
2004Q3,17845589.06875,1328,ok,1749212.5,5353676.720625,5159997.5,578356.45
