quarter,trailing_nav_used,n_new_positions,cap_status,outstanding_premium_before,premium_budget,outstanding_premium_after,quarter_realized_pnl
1996Q1,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q2,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q3,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1996Q4,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q1,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q2,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q3,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1997Q4,10000000.0,0,ok,0.0,2000000.0,0.0,0.0
1998Q1,10000000.0,1145,ok,0.0,2000000.0,1482150.0,562107.375
1998Q2,10562107.375,884,ok,806750.0,2112421.475,1506921.875,-112120.78125
1998Q3,10449986.59375,959,ok,187231.25,2089997.31875,1641512.5,-333009.6875
1998Q4,10116976.90625,682,ok,317890.625,2023395.38125,1591093.75,361238.28125
1999Q1,10478215.1875,759,ok,384206.25,2095643.0375,1556490.625,-115731.03125
1999Q2,10362484.15625,769,ok,490321.875,2072496.83125,1461806.25,192767.96875
1999Q3,10555252.125,895,ok,244468.75,2111050.4250000003,1551621.875,-163758.34375
1999Q4,10391493.78125,803,ok,277690.625,2078298.75625,1598018.75,237465.15625
2000Q1,10628958.9375,691,ok,311265.625,2125791.7875,1246825.0,262945.71875
2000Q2,10891904.65625,634,ok,358650.0,2178380.93125,1674143.75,5488.3125
2000Q3,10897392.96875,636,ok,249231.25,2179478.59375,1434718.75,193207.25
2000Q4,11090600.21875,579,ok,292837.5,2218120.04375,1865371.25,323680.2375
2001Q1,11414280.45625,705,ok,382541.875,2282856.09125,1826264.375,-202514.8
2001Q2,11211765.65625,761,ok,572145.0,2242353.13125,1820860.0,5325.425000000003
2001Q3,11217091.08125,886,ok,363990.0,2243418.21625,1951310.0,-217472.1
2001Q4,10999618.981250001,846,ok,536937.5,2199923.79625,1905587.5,315183.0
2002Q1,11314801.981250001,1013,ok,445492.5,2262960.39625,1969337.5,644749.65
