quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,quarter_realized_pnl
1996Q1,10000000.0,15000.0,22,priority_capped,-167257.40625
1996Q2,9832742.59375,14749.113890625,20,priority_capped,249467.875
1996Q3,10082210.46875,15123.315703125001,23,priority_capped,95734.3125
1996Q4,10177944.78125,15266.917171875,21,priority_capped,-26170.28125
1997Q1,10151774.5,15227.661750000001,22,priority_capped,-116706.53125
1997Q2,10035067.96875,15052.601953125,27,priority_capped,114990.46875
1997Q3,10150058.4375,15225.08765625,25,priority_capped,-239521.6875
1997Q4,9910536.75,14865.805125,23,priority_capped,116531.875
1998Q1,10027068.625,15040.6029375,23,priority_capped,-255303.34375
1998Q2,9771765.28125,14657.647921875001,32,priority_capped,-54383.40625
1998Q3,9717381.875,14576.0728125,27,priority_capped,263.4375
1998Q4,9717645.3125,14576.467968750001,33,priority_capped,69043.90625
1999Q1,9786689.21875,14680.033828125,32,priority_capped,-140770.90625
1999Q2,9645918.3125,14468.87746875,28,priority_capped,-127851.84375
1999Q3,9518066.46875,14277.099703125,28,priority_capped,-296774.125
1999Q4,9221292.34375,13831.938515625001,33,priority_capped,-119726.3125
2000Q1,9101566.03125,13652.349046875,26,priority_capped,293894.90625
2000Q2,9395460.9375,14093.19140625,26,priority_capped,-89794.6875
2000Q3,9305666.25,13958.499375,21,priority_capped,-112603.78125
2000Q4,9193062.46875,13789.593703125,19,priority_capped,-79668.1875
2001Q1,9113394.28125,13670.091421875,21,priority_capped,-170927.0625
2001Q2,8942467.21875,13413.700828125,19,priority_capped,135296.42500000005
2001Q3,9077763.64375,13616.645465625,25,priority_capped,213020.425
2001Q4,9290784.068750001,13936.176103125003,18,priority_capped,247368.55
2002Q1,9538152.618750002,14307.228928125003,22,priority_capped,-17017.824999999968
2002Q2,9521134.793750003,14281.702190625005,19,priority_capped,-92767.29999999999
2002Q3,9428367.493750002,14142.551240625004,20,priority_capped,121228.89999999994
2002Q4,9549596.393750003,14324.394590625005,30,priority_capped,120015.57499999994
2003Q1,9669611.968750002,14504.417953125003,27,priority_capped,-43242.650000000016
2003Q2,9626369.318750001,14439.553978125003,21,priority_capped,127058.675
2003Q3,9753427.993750002,14630.141990625003,19,priority_capped,-107400.3
2003Q4,9646027.693750001,14469.041540625003,18,priority_capped,306639.6749999999
2004Q1,9952667.368750002,14929.001053125005,19,priority_capped,63635.52499999991
2004Q2,10016302.893750003,15024.454340625005,19,priority_capped,-88053.5500000001
2004Q3,9928249.343750002,14892.374015625002,28,priority_capped,-45979.92500000005
2004Q4,9882269.418750001,14823.404128125001,27,priority_capped,85220.20000000001
2005Q1,9967489.61875,14951.234428125,29,priority_capped,99549.675
2005Q2,10067039.293750001,15100.558940625002,28,priority_capped,-37756.09999999995
2005Q3,10029283.193750001,15043.924790625002,25,priority_capped,50191.800000000105
2005Q4,10079474.993750002,15119.212490625003,29,priority_capped,109156.77500000004
2006Q1,10188631.768750003,15282.947653125004,31,priority_capped,163389.00000000003
2006Q2,10352020.768750003,15528.031153125004,28,priority_capped,-121607.25000000003
2006Q3,10230413.518750003,15345.620278125005,38,priority_capped,11507.375
2006Q4,10241920.893750003,15362.881340625005,33,priority_capped,73815.05000000003
2007Q1,10315735.943750003,15473.603915625004,34,priority_capped,234927.3
2007Q2,10550663.243750004,15825.994865625007,34,priority_capped,63932.57499999999
2007Q3,10614595.818750003,15921.893728125006,35,priority_capped,13635.425000000003
2007Q4,10628231.243750004,15942.346865625006,41,priority_capped,351348.625
2008Q1,10979579.868750004,16469.369803125006,40,priority_capped,-2348.725000000006
2008Q2,10977231.143750004,16465.846715625008,34,priority_capped,125847.37499999994
2008Q3,11103078.518750004,16654.617778125008,32,priority_capped,114683.62499999994
2008Q4,11217762.143750004,16826.64321562501,49,priority_capped,69102.92500000008
2009Q1,11286865.068750005,16930.297603125007,35,priority_capped,-13259.100000000006
2009Q2,11273605.968750006,16910.40895312501,40,priority_capped,-124133.7999999999
2009Q3,11149472.168750005,16724.20825312501,35,priority_capped,70047.13
2009Q4,11219519.298750006,16829.278948125007,28,priority_capped,-35832.97500000002
2010Q1,11183686.323750006,16775.52948562501,50,priority_capped,4369.575000000041
2010Q2,11188055.898750005,16782.083848125007,48,priority_capped,111094.21499999997
2010Q3,11299150.113750005,16948.725170625006,40,priority_capped,-170312.28500000003
2010Q4,11128837.828750005,16693.256743125006,41,priority_capped,268940.7
2012Q1,11397778.528750004,17096.667793125005,52,priority_capped,80535.44499999996
2012Q2,11478313.973750005,17217.470960625007,54,priority_capped,-11795.124999999985
2012Q3,11466518.848750005,17199.778273125008,51,priority_capped,-52664.00000000005
2012Q4,11413854.848750005,17120.78227312501,43,priority_capped,-194501.57499999995
2013Q1,11219353.273750005,16829.02991062501,45,priority_capped,-38043.19999999998
2013Q2,11181310.073750006,16771.96511062501,44,priority_capped,42395.0
2013Q3,11223705.073750006,16835.55761062501,47,priority_capped,154510.25000000003
