quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q2,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q3,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q4,10000000.0,90000.00000000001,0,ok,0,0.0
1996Q1,10000000.0,90000.00000000001,101,ok,0,195590.1488049281
1996Q2,10195590.148804927,91760.31133924436,151,ok,0,138586.40730350427
1996Q3,10334176.556108432,93007.5890049759,381,ok,0,425458.75406027265
1996Q4,10759635.310168704,96836.71779151834,428,ok,0,267529.8622234115
1997Q1,11027165.172392115,99244.48655152904,432,ok,0,-1128392.8147912659
1997Q2,9898772.35760085,89088.95121840766,423,ok,0,1411862.7076338409
1997Q3,11310635.06523469,101795.71558711222,439,ok,0,998122.4999878332
1997Q4,12308757.565222524,110778.81808700273,458,ok,0,1314438.3981824329
1998Q1,13623195.963404957,122608.76367064464,509,ok,0,655825.6786066414
1998Q2,14279021.642011598,128511.1947781044,428,ok,0,1673016.2247945236
1998Q3,15952037.866806122,143568.3408012551,422,ok,0,573640.8583633674
1998Q4,16525678.72516949,148731.1085265254,459,ok,0,1758204.7413676337
1999Q1,18283883.46653712,164554.9511988341,476,ok,0,872718.2012256498
1999Q2,19156601.66776277,172409.41500986496,461,ok,0,2264171.9829550292
1999Q3,21420773.650717802,192786.96285646025,473,ok,0,1867268.2314493344
1999Q4,23288041.88216714,209592.37693950426,451,ok,0,1207033.7967704702
2000Q1,24495075.678937607,220455.68111043848,464,ok,0,1568994.0207363374
2000Q2,26064069.699673943,234576.6272970655,428,ok,0,2051431.6947130319
2000Q3,28115501.394386977,253039.5125494828,421,ok,0,-648401.6201258432
2000Q4,27467099.774261132,247203.8979683502,380,ok,0,-3573806.602768283
2001Q1,23893293.17149285,215039.63854343566,434,ok,0,-5069610.113884889
2001Q2,18823683.05760796,169413.14751847167,425,ok,0,3672706.675162643
2001Q3,22496389.732770603,202467.50759493545,444,ok,0,1554155.7484677576
2001Q4,24050545.48123836,216454.9093311453,432,ok,0,-777111.4411227976
2002Q1,23273434.040115565,209460.9063610401,436,ok,0,-808761.9157846782
2002Q2,22464672.124330886,202182.049118978,447,ok,0,2637919.781623758
2002Q3,25102591.905954644,225923.32715359182,391,ok,0,2389285.125437484
2002Q4,27491877.031392127,247426.89328252917,435,ok,0,-2542532.807692751
2003Q1,24949344.223699376,224544.09801329442,409,ok,0,2220945.5622991845
2003Q2,27170289.78599856,244532.60807398707,451,ok,0,304772.04809285194
2003Q3,27475061.834091414,247275.55650682276,402,ok,0,629053.9488355463
2003Q4,28104115.78292696,252937.04204634269,470,ok,0,-430123.21581976773
2004Q1,27673992.567107193,249065.93310396478,423,ok,0,-66587.19379164092
2004Q2,27607405.37331555,248466.64835983998,461,ok,0,801748.2518843515
2004Q3,28409153.625199903,255682.38262679917,475,ok,0,537285.2664841206
2004Q4,28946438.89168402,260517.95002515623,461,ok,0,1107041.6009776248
2005Q1,30053480.492661647,270481.32443395484,469,ok,0,2331084.4100995953
2005Q2,32384564.902761243,291461.0841248512,479,ok,0,561794.9911329657
2005Q3,32946359.89389421,296517.23904504796,497,ok,0,2524124.008732321
2005Q4,35470483.90262653,319234.3551236388,494,ok,0,147965.48661704085
2006Q1,35618449.38924357,320566.0445031922,524,ok,0,3181218.1502922135
2006Q2,38799667.53953578,349197.0078558221,531,ok,0,1173737.3028686885
2006Q3,39973404.84240447,359760.64358164027,534,ok,0,-2101935.830338339
2006Q4,37871469.01206613,340843.22110859526,512,ok,0,1617691.866115646
2007Q1,39489160.87818178,355402.447903636,535,ok,0,790678.0708355735
2007Q2,40279838.94901735,362518.5505411562,570,ok,0,3118671.8168677627
2007Q3,43398510.765885115,390586.5968929661,560,ok,0,3660802.475040123
2007Q4,47059313.24092524,423533.8191683272,540,ok,0,2591951.429881458
2008Q1,49651264.6708067,446861.38203726034,535,ok,0,618781.3830285881
2008Q2,50270046.05383529,452430.41448451765,523,ok,0,3233903.01207277
2008Q3,53503949.06590806,481535.5415931726,568,ok,0,-5158747.8866201695
2008Q4,48345201.17928789,435106.81061359105,577,ok,0,1345866.8937323855
2009Q1,49691068.07302027,447219.6126571825,556,ok,0,-5288486.540894676
2009Q2,44402581.53212559,399623.2337891304,521,ok,0,-3402968.5564592155
2009Q3,40999612.975666374,368996.5167809974,555,ok,0,-2157478.387355175
2009Q4,38842134.588311195,349579.2112948008,524,ok,0,1121977.6802966231
2010Q1,39964112.26860782,359677.0104174704,514,ok,0,-124434.28749161484
2010Q2,39839677.981116205,358557.10183004587,552,ok,0,-454504.3173993479
2010Q3,39385173.66371686,354466.5629734518,541,ok,0,1008998.7692367319
2010Q4,40394172.43295359,363547.55189658236,565,ok,0,-354257.8861543321
2011Q1,40039914.54679926,360359.2309211934,539,ok,0,1818159.4632517616
2011Q2,41858074.01005102,376722.6660904592,540,ok,0,2651729.603526341
2011Q3,44509803.61357736,400588.23252219625,570,ok,0,-896593.0024642332
2011Q4,43613210.61111312,392518.89550001814,568,ok,0,548089.8056304959
2012Q1,44161300.41674362,397451.70375069266,523,ok,0,1480806.4455624672
2012Q2,45642106.86230609,410778.9617607548,521,ok,0,1090742.1382216213
2012Q3,46732849.00052771,420595.64100474946,527,ok,0,-499375.90812732
2012Q4,46233473.09240039,416101.2578316035,512,ok,0,-1532168.681939903
2013Q1,44701304.41046049,402311.7396941444,526,ok,0,43767.581839801045
2013Q2,44745071.99230029,402705.6479307026,507,ok,0,1964618.9595220466
2013Q3,46709690.95182233,420387.21856640105,512,ok,0,2210184.950093016
2013Q4,48919875.90191535,440278.8831172382,541,ok,0,-909572.9633298919
2014Q1,48010302.93858546,432092.7264472692,0,ok,0,406661.65446465975
2014Q2,48416964.59305012,435752.68133745115,0,ok,0,110347.73866582652
