quarter,trailing_nav_used,base_unit,n_new_positions,gross_requested,scale_applied,quarter_realized_pnl,nav_after_quarter,full_series_nav_at_quarter_end
1995Q1,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q2,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q3,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q4,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1996Q1,10000000.0,30000.0,101,9371408.572320208,1.0,70169.42049810877,10070169.420498108,10070169.420498108
1996Q2,10070169.420498108,30210.508261494328,151,10590122.418267615,1.0,7841.365126424558,10078010.785624534,10078010.785624534
1996Q3,10078010.785624534,30234.032356873602,381,12116783.642553594,1.0,113414.49397031912,10191425.279594854,10191425.279594852
1996Q4,10191425.279594854,30574.27583878456,428,12823328.486702563,1.0,200079.5523119541,10391504.831906807,10391504.831906807
1997Q1,10391504.831906807,31174.51449572042,432,12499413.04110542,1.0,-344450.4253824662,10047054.40652434,10047054.40652434
1997Q2,10047054.40652434,30141.16321957302,423,12455411.610108841,1.0,576375.6641280248,10623430.070652364,10623430.070652366
1997Q3,10623430.070652364,31870.290211957094,439,13016050.069894157,1.0,504417.4107064683,11127847.481358832,11127847.481358834
1997Q4,11127847.481358832,33383.5424440765,458,13828813.670865513,1.0,632305.7227938456,11760153.204152677,11760153.204152677
1998Q1,11760153.204152677,35280.459612458035,509,14639598.059076283,1.0,211493.4719408138,11971646.67609349,11971646.676093493
1998Q2,11971646.67609349,35914.94002828047,428,14755284.994025681,1.0,561526.1980831614,12533172.874176651,12533172.874176651
1998Q3,12533172.874176651,37599.518622529955,422,15258485.72374909,1.0,158326.22824308943,12691499.102419741,12691499.102419741
1998Q4,12691499.102419741,38074.497307259226,459,15834685.060201222,1.0,856925.0883676641,13548424.190787405,13548424.190787405
1999Q1,13548424.190787405,40645.27257236221,476,16138647.80237031,1.0,343075.4442804581,13891499.635067863,13891499.635067863
1999Q2,13891499.635067863,41674.49890520359,461,16562073.359978992,1.0,670556.0167776754,14562055.651845539,14562055.651845537
1999Q3,14562055.651845539,43686.16695553662,473,17293979.29434049,1.0,523348.9737407511,15085404.62558629,15085404.625586286
1999Q4,15085404.62558629,45256.21387675887,451,17622145.03219401,1.0,379227.94952188287,15464632.575108172,15464632.575108167
2000Q1,15464632.575108172,46393.89772532452,464,18269623.43911981,1.0,380952.6054667796,15845585.180574952,15845585.180574946
2000Q2,15845585.180574952,47536.75554172486,428,19276572.934963115,1.0,711170.5212915574,16556755.70186651,16556755.701866504
2000Q3,16556755.70186651,49670.26710559953,421,18690470.876263957,1.0,308779.66966771823,16865535.37153423,16865535.37153422
2000Q4,16865535.37153423,50596.606114602684,380,19714200.869641237,1.0,-730813.1688439706,16134722.202690259,16134722.202690247
2001Q1,16134722.202690259,48404.16660807078,434,18128787.183563545,1.0,-1288255.4672720747,14846466.735418184,14846466.735418169
2001Q2,14846466.735418184,44539.400206254555,425,16617162.959519275,1.0,1037735.2227799445,15884201.958198128,15884201.958198113
2001Q3,15884201.958198128,47652.60587459439,444,17991739.45406673,1.0,629158.7379369033,16513360.696135031,16513360.696135018
2001Q4,16513360.696135031,49540.08208840509,432,18385234.585520662,1.0,-437374.60540458385,16075986.090730447,16075986.090730434
2002Q1,16075986.090730447,48227.95827219134,436,17829159.715370275,1.0,-237578.3820273437,15838407.708703104,15838407.70870309
2002Q2,15838407.708703104,47515.22312610931,447,17185866.752577044,1.0,694104.4513864485,16532512.160089552,16532512.160089538
2002Q3,16532512.160089552,49597.53648026866,391,18436788.506013747,1.0,604193.4228693211,17136705.582958873,17136705.582958855
2002Q4,17136705.582958873,51410.11674887662,435,18842520.537123173,1.0,-1021288.2043506684,16115417.378608204,16115417.378608188
