quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q2,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q3,10000000.0,90000.00000000001,0,ok,0,0.0
1995Q4,10000000.0,90000.00000000001,0,ok,0,0.0
1996Q1,10000000.0,90000.00000000001,101,ok,0,45132.81411580208
1996Q2,10045132.814115802,90406.19532704222,151,ok,0,-42191.9486425834
1996Q3,10002940.865473218,90026.46778925897,381,ok,0,350558.1871474035
1996Q4,10353499.052620621,93181.4914735856,428,ok,0,142974.1367923766
1997Q1,10496473.189412998,94468.258704717,432,ok,0,-1030269.3825512417
1997Q2,9466203.806861756,85195.83426175582,423,ok,0,1184873.2672326334
1997Q3,10651077.07409439,95859.69366684953,439,ok,0,1058797.5965663656
1997Q4,11709874.670660757,105388.87203594683,458,ok,0,1068753.4608908864
1998Q1,12778628.131551642,115007.6531839648,509,ok,0,790707.633551125
1998Q2,13569335.765102766,122124.02188592491,428,ok,0,1530841.8417895744
1998Q3,15100177.60689234,135901.59846203108,422,ok,0,550020.4937166536
1998Q4,15650198.100608993,140851.78290548097,459,ok,0,1577422.683231099
1999Q1,17227620.783840094,155048.58705456086,476,ok,0,775234.8106050343
1999Q2,18002855.594445128,162025.70035000617,461,ok,0,2560824.1953400155
1999Q3,20563679.789785143,185073.11810806632,473,ok,0,1876084.1763915892
1999Q4,22439763.966176733,201957.87569559063,451,ok,0,1741594.5268979748
2000Q1,24181358.493074708,217632.2264376724,464,ok,0,2295066.547844889
2000Q2,26476425.0409196,238287.82536827642,428,ok,0,1903426.9208911345
2000Q3,28379851.961810734,255418.66765629663,421,ok,0,-474559.5003864963
2000Q4,27905292.46142424,251147.63215281817,380,ok,0,-3702236.6922181714
2001Q1,24203055.76920607,217827.50192285466,434,ok,0,-4770916.187081205
2001Q2,19432139.582124867,174889.25623912382,425,ok,0,4004364.025297369
2001Q3,23436503.607422236,210928.53246680016,444,ok,0,1510641.7651315357
2001Q4,24947145.372553773,224524.308352984,432,ok,0,-618780.1534965415
2002Q1,24328365.219057232,218955.2869715151,436,ok,0,-847516.5538100834
2002Q2,23480848.66524715,211327.63798722439,447,ok,0,2829025.0929373717
2002Q3,26309873.758184522,236788.86382366074,391,ok,0,2662942.9818447293
2002Q4,28972816.740029253,260755.3506602633,435,ok,0,-2272561.561065704
2003Q1,26700255.17896355,240302.29661067197,409,ok,0,2408214.1012988742
2003Q2,29108469.280262426,261976.22352236186,451,ok,0,861164.9656592973
2003Q3,29969634.245921724,269726.70821329555,402,ok,0,904257.8537742948
2003Q4,30873892.099696018,277865.0288972642,470,ok,0,-582417.0481618524
2004Q1,30291475.051534165,272623.2754638075,423,ok,0,367265.34285314457
2004Q2,30658740.39438731,275928.6635494858,461,ok,0,1242652.1922990484
2004Q3,31901392.586686358,287112.5332801773,475,ok,0,453336.98178067314
2004Q4,32354729.568467032,291192.5661162033,461,ok,0,1296717.876743947
2005Q1,33651447.44521098,302863.02700689883,469,ok,0,2881372.2266217447
2005Q2,36532819.671832725,328795.37704649457,479,ok,0,913827.0262023725
2005Q3,37446646.6980351,337019.82028231595,497,ok,0,3117333.204276843
2005Q4,40563979.90231194,365075.8191208075,494,ok,0,179195.27677577015
2006Q1,40743175.17908771,366688.57661178947,524,ok,0,3952912.9769726805
2006Q2,44696088.1560604,402264.7934045436,531,ok,0,2096277.0177728145
2006Q3,46792365.173833214,421131.28656449897,534,ok,0,-3264847.6977203647
2006Q4,43527517.47611285,391747.6572850157,512,ok,0,2432432.9303906774
2007Q1,45959950.40650353,413639.5536585318,535,ok,0,1155819.0520263969
2007Q2,47115769.45852993,424041.9251267694,570,ok,0,5489167.184612219
2007Q3,52604936.64314215,473444.4297882794,560,ok,0,5220459.0218378715
2007Q4,57825395.664980024,520428.5609848203,540,ok,0,2975692.844089483
2008Q1,60801088.50906951,547209.7965816257,535,ok,0,73049.73453692731
2008Q2,60874138.24360644,547867.244192458,523,ok,0,5085937.595153106
2008Q3,65960075.83875955,593640.682548836,568,ok,0,-8252990.503968628
2008Q4,57707085.33479092,519363.76801311836,577,ok,0,178763.49904964239
2009Q1,57885848.833840564,520972.63950456516,556,ok,0,-5991230.5635150215
2009Q2,51894618.27032554,467051.5644329299,521,ok,0,-2556771.4589658836
2009Q3,49337846.81135966,444040.621302237,555,ok,0,-1824420.7304428918
2009Q4,47513426.08091677,427620.834728251,524,ok,0,988699.858518599
2010Q1,48502125.93943537,436519.1334549184,514,ok,0,397429.50014739495
2010Q2,48899555.439582765,440095.99895624496,552,ok,0,-325970.6581070374
2010Q3,48573584.78147573,437162.2630332816,541,ok,0,1624460.7235586955
2010Q4,50198045.505034424,451782.4095453099,565,ok,0,-707966.5530222108
2011Q1,49490078.95201221,445410.71056810993,539,ok,0,2707678.338680675
2011Q2,52197757.29069289,469779.81561623607,540,ok,0,3471195.095542602
2011Q3,55668952.38623549,501020.57147611945,570,ok,0,-2155645.504430058
2011Q4,53513306.881805435,481619.761936249,568,ok,0,811332.7811813331
2012Q1,54324639.66298677,488921.756966881,523,ok,0,1957398.18080438
2012Q2,56282037.84379115,506538.3405941204,521,ok,0,1065410.5015069332
2012Q3,57347448.34529808,516127.0351076828,527,ok,0,-864919.4464547832
2012Q4,56482528.898843296,508342.76008958975,512,ok,0,-1960904.3655588764
2013Q1,54521624.53328442,490694.6207995598,526,ok,0,180617.8958549292
2013Q2,54702242.429139346,492320.18186225416,507,ok,0,2255597.0003412105
2013Q3,56957839.42948055,512620.55486532504,512,ok,0,2389096.1882417086
2013Q4,59346935.61772226,534122.4205595003,541,ok,0,-1546483.15364499
2014Q1,57800452.46407727,520204.0721766955,0,ok,0,905270.2256284519
2014Q2,58705722.68970572,528351.5042073516,0,ok,0,155540.66037727965
