quarter,trailing_nav_used,base_unit,n_new_positions,gross_requested,scale_applied,quarter_realized_pnl,nav_after_quarter,full_series_nav_at_quarter_end
1995Q1,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q2,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q3,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q4,10000000.0,30000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1996Q1,10000000.0,30000.0,101,2791368.4947339045,1.0,21689.175561874737,10021689.175561875,10021689.175561875
1996Q2,10021689.175561875,30065.067526685627,151,4271094.3104303405,1.0,5037.320816785586,10026726.49637866,10026726.49637866
1996Q3,10026726.49637866,30080.179489135982,381,10660972.558217715,1.0,135982.94922115322,10162709.445599813,10162709.445599813
1996Q4,10162709.445599813,30488.12833679944,428,12035494.90731461,1.0,116597.68055583378,10279307.126155647,10279307.126155647
1997Q1,10279307.126155647,30837.92137846694,432,12164968.1233021,1.0,-305178.233751242,9974128.892404405,9974128.892404405
1997Q2,9974128.892404405,29922.386677213217,423,11340355.155116834,1.0,455263.5885607239,10429392.48096513,10429392.480965128
1997Q3,10429392.48096513,31288.17744289539,439,12897245.090880044,1.0,428115.7321237083,10857508.213088838,10857508.213088837
1997Q4,10857508.213088838,32572.524639266518,458,14172346.615543578,1.0,481734.21851228963,11339242.431601128,11339242.431601126
1998Q1,11339242.431601128,34017.727294803386,509,15988567.614471598,1.0,265597.9174263482,11604840.349027475,11604840.349027473
1998Q2,11604840.349027475,34814.521047082424,428,14292272.15455119,1.0,509525.9322086026,12114366.281236079,12114366.281236077
1998Q3,12114366.281236079,36343.098843708234,422,14112497.614688884,1.0,268998.57844862936,12383364.859684708,12383364.859684708
1998Q4,12383364.859684708,37150.09457905412,459,15173004.32399322,1.0,581401.4148637678,12964766.274548475,12964766.274548475
1999Q1,12964766.274548475,38894.298823645426,476,16233765.809319928,1.0,223750.96367598523,13188517.23822446,13188517.238224462
1999Q2,13188517.23822446,39565.551714673384,461,16468481.02666001,1.0,651082.840454345,13839600.078678805,13839600.078678807
1999Q3,13839600.078678805,41518.80023603642,473,17279970.55953176,1.0,538551.102497277,14378151.181176083,14378151.181176085
1999Q4,14378151.181176083,43134.45354352825,451,17276365.545723855,1.0,432908.5909902462,14811059.772166329,14811059.77216633
2000Q1,14811059.772166329,44433.17931649899,464,18410307.84317465,1.0,490126.97967268754,15301186.751839016,15301186.751839016
2000Q2,15301186.751839016,45903.56025551705,428,17730367.289430127,1.0,758171.3832115447,16059358.135050561,16059358.135050561
2000Q3,16059358.135050561,48178.07440515168,421,17804627.681858025,1.0,216013.06017595634,16275371.195226518,16275371.195226517
2000Q4,16275371.195226518,48826.11358567956,380,16204778.2681459,1.0,-595524.3744619612,15679846.820764557,15679846.820764557
2001Q1,15679846.820764557,47039.54046229367,434,18048996.35462422,1.0,-1259149.0831279554,14420697.737636602,14420697.737636598
2001Q2,14420697.737636602,43262.09321290981,425,16270903.785509769,1.0,936376.2405767664,15357073.978213368,15357073.97821337
2001Q3,15357073.978213368,46071.2219346401,444,17931027.833145496,1.0,565084.0403300548,15922158.018543422,15922158.018543422
2001Q4,15922158.018543422,47766.474055630264,432,16626513.442437762,1.0,-361072.4228859711,15561085.595657451,15561085.595657453
2002Q1,15561085.595657451,46683.25678697236,436,17581958.13935411,1.0,-263965.56721170526,15297120.028445747,15297120.028445747
2002Q2,15297120.028445747,45891.36008533724,447,18345807.49408272,1.0,671815.4230866529,15968935.4515324,15968935.451532397
2002Q3,15968935.4515324,47906.806354597196,391,16364031.296579875,1.0,703012.0063146423,16671947.457847042,16671947.457847042
2002Q4,16671947.457847042,50015.84237354113,435,18272664.3812245,1.0,-854137.9617005239,15817809.496146519,15817809.496146519
