quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,50000.0,0,ok,0,0.0
1995Q2,10000000.0,50000.0,0,ok,0,0.0
1995Q3,10000000.0,50000.0,0,ok,0,0.0
1995Q4,10000000.0,50000.0,0,ok,0,0.0
1996Q1,10000000.0,50000.0,481,ok,0,-8433.731825853663
1996Q2,9991566.268174147,49957.83134087074,733,ok,0,292974.4108096004
1996Q3,10284540.678983748,51422.70339491874,2057,ok,0,531815.604832888
1996Q4,10816356.283816636,54081.78141908318,2160,ok,0,493933.9781943769
1997Q1,11310290.262011012,56551.45131005506,2203,ok,0,-967267.5150465192
1997Q2,10343022.746964492,51715.11373482246,2153,ok,0,1384642.3759392954
1997Q3,11727665.122903787,58638.32561451894,2255,ok,0,1316373.466603322
1997Q4,13044038.589507109,65220.19294753554,2291,ok,0,596634.1775716299
1998Q1,13640672.767078739,68203.3638353937,2345,ok,0,774286.4984116011
1998Q2,14414959.26549034,72074.7963274517,2219,ok,0,1638796.1040744388
1998Q3,16053755.36956478,80268.7768478239,2300,ok,0,300718.0479778338
1998Q4,16354473.417542612,81772.36708771306,2364,ok,0,3334922.150497196
1999Q1,19689395.56803981,98446.97784019905,2387,ok,0,-823392.8750785573
1999Q2,18866002.69296125,94330.01346480625,2216,ok,0,1356267.2248743859
1999Q3,20222269.917835634,101111.34958917818,2350,ok,0,2540377.5740491445
1999Q4,22762647.49188478,113813.2374594239,2349,ok,0,3493556.1318631014
2000Q1,26256203.62374788,131281.01811873942,2328,ok,0,3545946.029485827
2000Q2,29802149.653233707,149010.74826616855,2171,ok,0,3683765.7793048276
2000Q3,33485915.432538535,167429.57716269267,2242,ok,0,-20329.11557937463
2000Q4,33465586.31695916,167327.93158479582,1971,ok,0,-4706465.076032611
2001Q1,28759121.24092655,143795.60620463276,2205,ok,0,-6016170.008800254
2001Q2,22742951.232126296,113714.75616063148,2063,ok,0,5530152.282515948
2001Q3,28273103.514642242,141365.51757321123,2259,ok,0,490180.8850532902
2001Q4,28763284.399695534,143816.4219984777,2262,ok,0,442388.2711133198
2002Q1,29205672.670808855,146028.36335404427,2206,ok,0,-941978.9307615823
2002Q2,28263693.740047272,141318.46870023638,2153,ok,0,3718895.0749180494
2002Q3,31982588.814965323,159912.9440748266,2080,ok,0,3773575.7217803644
2002Q4,35756164.53674569,178780.82268372845,2123,ok,0,-3956515.1034027706
2003Q1,31799649.43334292,158998.2471667146,2107,ok,0,2753178.672062333
2003Q2,34552828.10540525,172764.14052702623,2104,ok,0,488985.82022203447
2003Q3,35041813.925627284,175209.06962813644,2118,ok,0,21089.62549931582
2003Q4,35062903.5511266,175314.517755633,2221,ok,0,-514457.7548234981
2004Q1,34548445.7963031,172742.2289815155,2246,ok,0,1044999.2837912873
2004Q2,35593445.08009439,177967.22540047194,2324,ok,0,2427479.6286097975
2004Q3,38020924.70870419,190104.62354352095,2348,ok,0,957820.4011672243
2004Q4,38978745.10987141,194893.72554935704,2387,ok,0,2183260.420860777
2005Q1,41162005.530732185,205810.02765366092,2445,ok,0,2577470.682601767
2005Q2,43739476.21333395,218697.38106666974,2489,ok,0,1183938.21941827
2005Q3,44923414.43275222,224617.07216376113,2546,ok,0,2743038.7643911624
2005Q4,47666453.19714338,238332.26598571692,2565,ok,0,2655764.2717140536
2006Q1,50322217.46885744,251611.0873442872,2598,ok,0,2816419.2973243953
2006Q2,53138636.766181834,265693.1838309092,2628,ok,0,2349695.1601040494
2006Q3,55488331.926285885,277441.6596314294,2688,ok,0,-3112805.361913977
2006Q4,52375526.564371906,261877.63282185953,2668,ok,0,-443356.33710162994
2007Q1,51932170.227270275,259660.85113635138,2735,ok,0,2101282.328945933
2007Q2,54033452.55621621,270167.2627810811,2789,priority_capped,303,4824008.0587355485
2007Q3,58857460.61495176,294287.3030747588,2789,priority_capped,163,8368284.934752993
2007Q4,67225745.54970476,336128.7277485238,2809,ok,0,4424234.202400284
2008Q1,71649979.75210504,358249.8987605252,2768,ok,0,-5026659.982976954
2008Q2,66623319.769128084,333116.59884564043,2853,ok,0,10578267.663918212
2008Q3,77201587.4330463,386007.9371652315,2795,ok,0,-9067986.08782996
2008Q4,68133601.34521633,340668.00672608166,2779,ok,0,3307242.1751367217
2009Q1,71440843.52035305,357204.21760176524,2715,ok,0,-1470857.986330493
2009Q2,69969985.53402255,349849.92767011275,2677,ok,0,-5340987.973185848
2009Q3,64628997.5608367,323144.9878041835,2659,ok,0,-4622368.307304363
2009Q4,60006629.25353234,300033.1462676617,2656,ok,0,1565244.9230097905
2010Q1,61571874.17654213,307859.3708827107,2680,ok,0,-1106344.0065667897
2010Q2,60465530.16997534,302327.6508498767,2697,ok,0,648015.1542569927
2010Q3,61113545.32423233,305567.7266211617,2702,ok,0,1997469.4474344454
2010Q4,63111014.77166678,315555.0738583339,2714,ok,0,73391.71966452803
2011Q1,63184406.49133131,315922.03245665657,2699,ok,0,1517737.5482578482
2011Q2,64702144.03958916,323510.7201979458,2699,ok,0,2330493.8908653324
2011Q3,67032637.93045449,335163.18965227244,2691,ok,0,-2152621.1692878655
2011Q4,64880016.761166625,324400.0838058331,2690,ok,0,1529558.369324884
2012Q1,66409575.13049151,332047.87565245753,2675,ok,0,1222590.8413693735
2012Q2,67632165.97186089,338160.8298593044,2698,ok,0,881472.3077029436
2012Q3,68513638.27956383,342568.19139781914,2692,ok,0,-2303662.910313515
2012Q4,66209975.36925031,331049.87684625154,2702,ok,0,-793020.4895624572
2013Q1,65416954.87968785,327084.7743984393,2654,ok,0,1923246.9241602828
2013Q2,67340201.80384813,336701.0090192407,2688,ok,0,2253659.911518246
2013Q3,69593861.71536638,347969.3085768319,2652,ok,0,4913432.783961373
2013Q4,74507294.49932775,372536.4724966388,2641,ok,0,-1371391.6504683136
2014Q1,73135902.84885943,365679.51424429717,0,ok,0,1691427.813107151
2014Q2,74827330.66196658,374136.6533098329,0,ok,0,-579523.3209838924
