quarter,trailing_nav_used,base_unit,n_new_positions,gross_requested,scale_applied,quarter_realized_pnl,nav_after_quarter,full_series_nav_at_quarter_end
1995Q1,10000000.0,20000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q2,10000000.0,20000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q3,10000000.0,20000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1995Q4,10000000.0,20000.0,0,0.0,1.0,0.0,10000000.0,10000000.0
1996Q1,10000000.0,20000.0,481,4854074.258372432,1.0,-7432.309162778243,9992567.690837221,9992567.690837221
1996Q2,9992567.690837221,19985.13538167444,733,7297502.0116010755,1.0,127025.88433702015,10119593.575174242,10119593.575174242
1996Q3,10119593.575174242,20239.187150348484,2057,20183436.28723652,0.7520716565176969,179504.795094429,10299098.37026867,10299098.37026867
1996Q4,10299098.37026867,20598.196740537343,2160,21604225.50031095,0.71507527799044,188017.9270471488,10487116.29731582,10487116.297315821
1997Q1,10487116.29731582,20974.232594631638,2203,22364198.999207474,0.703386445744432,-265207.47551913676,10221908.821796682,10221908.821796684
1997Q2,10221908.821796682,20443.817643593364,2153,21219987.03894981,0.7225670404299104,405017.20782925485,10626926.029625937,10626926.029625937
1997Q3,10626926.029625937,21253.852059251876,2255,23345464.02908119,0.6828045492941215,381204.9185640839,11008130.94819002,11008130.948190022
1997Q4,11008130.94819002,22016.26189638004,2291,24720258.69924712,0.6679621205901023,176649.68526338367,11184780.633453405,11184780.633453405
1998Q1,11184780.633453405,22369.56126690681,2346,25589779.966456585,0.6556199768881108,175589.4278932098,11360370.061346615,11360370.061346615
1998Q2,11360370.061346615,22720.74012269323,2219,24904352.21096356,0.6842400455820015,376223.81777182565,11736593.87911844,11736593.87911844
1998Q3,11736593.87911844,23473.187758236883,2300,26324537.417817056,0.6687635394786562,124188.3530253568,11860782.232143797,11860782.232143797
1998Q4,11860782.232143797,23721.564464287596,2364,26745551.21565696,0.6652012218690287,768574.3705388043,12629356.602682602,12629356.602682602
1999Q1,12629356.602682602,25258.713205365202,2387,28878444.440329574,0.655992220881815,-163971.22176020523,12465385.380922396,12465385.380922396
1999Q2,12465385.380922396,24930.770761844793,2216,26616584.64927848,0.7024972706966166,261780.527858409,12727165.908780804,12727165.908780806
1999Q3,12727165.908780804,25454.331817561608,2350,28371597.82959728,0.6728824008373514,472058.4369757513,13199224.345756555,13199224.345756553
1999Q4,13199224.345756555,26398.44869151311,2349,29450450.623370454,0.6722761825220913,568260.5423124013,13767484.888068955,13767484.888068955
2000Q1,13767484.888068955,27534.96977613791,2328,30753708.35669175,0.6715036473840363,630593.5152608803,14398078.403329836,14398078.403329836
2000Q2,14398078.403329836,28796.156806659674,2171,29848313.329060495,0.7235624126193982,744297.0549036334,15142375.45823347,15142375.458233472
2000Q3,15142375.45823347,30284.75091646694,2242,32096364.584020503,0.7076677836174126,170892.94687159272,15313268.405105064,15313268.405105066
2000Q4,15313268.405105064,30626.536810210127,1971,28343168.836224586,0.8104211191199069,-635090.2830011838,14678178.12210388,14678178.122103883
2001Q1,14678178.12210388,29356.35624420776,2205,30943081.208824277,0.7115408783814646,-1074513.3992110526,13603664.722892826,13603664.722892828
2001Q2,13603664.722892826,27207.329445785654,2069,26832776.88377765,0.7604690775286785,829911.5245004634,14433576.24739329,14433576.247393291
2001Q3,14433576.24739329,28867.15249478658,2259,30734354.37542003,0.7044353073642222,262329.16658440017,14695905.41397769,14695905.413977692
