quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,20000.0,0,ok,0,0.0
1995Q2,10000000.0,20000.0,0,ok,0,0.0
1995Q3,10000000.0,20000.0,0,ok,0,0.0
1995Q4,10000000.0,20000.0,0,ok,0,0.0
1996Q1,10000000.0,20000.0,196,ok,0,25880.906230820794
1996Q2,10025880.90623082,20051.761812461642,290,ok,0,-30621.358750971252
1996Q3,9995259.54747985,19990.519094959698,905,ok,0,-24680.846092119442
1996Q4,9970578.70138773,19941.157402775458,938,ok,0,38651.017838361906
1997Q1,10009229.719226092,20018.459438452184,960,ok,0,-30109.96030666007
1997Q2,9979119.758919433,19958.239517838865,964,ok,0,89638.01782535584
1997Q3,10068757.776744789,20137.51555348958,821,ok,0,81557.64375220373
1997Q4,10150315.420496993,20300.630840993985,868,ok,0,103917.66519928249
1998Q1,10254233.085696274,20508.46617139255,955,ok,0,51326.81016832372
1998Q2,10305559.895864598,20611.119791729197,971,ok,0,149834.0883503021
1998Q3,10455393.9842149,20910.787968429802,1046,ok,0,68728.16408796603
1998Q4,10524122.148302866,21048.24429660573,969,ok,0,216845.035854268
1999Q1,10740967.184157135,21481.93436831427,970,ok,0,-10335.445251487708
1999Q2,10730631.738905648,21461.263477811295,889,ok,0,14279.344313636964
1999Q3,10744911.083219284,21489.822166438567,936,ok,0,68025.08759701898
1999Q4,10812936.170816302,21625.872341632607,935,ok,0,113267.47704549428
2000Q1,10926203.647861797,21852.407295723595,935,ok,0,59001.02378395398
2000Q2,10985204.671645751,21970.409343291503,912,ok,0,180316.55905051526
2000Q3,11165521.230696267,22331.042461392535,906,ok,0,2987.1983783837895
2000Q4,11168508.42907465,22337.0168581493,747,ok,0,-33594.288768914965
2001Q1,11134914.140305735,22269.82828061147,783,ok,0,-244427.86461801484
2001Q2,10890486.27568772,21780.972551375442,820,ok,0,204891.62665880474
2001Q3,11095377.902346525,22190.75580469305,1000,ok,0,153296.3210362244
2001Q4,11248674.22338275,22497.3484467655,911,ok,0,-5284.945920088749
2002Q1,11243389.277462661,22486.778554925324,840,ok,0,53297.54281822375
2002Q2,11296686.820280885,22593.37364056177,873,ok,0,85442.68971756315
2002Q3,11382129.509998448,22764.259019996898,844,ok,0,152470.64501588733
2002Q4,11534600.155014336,23069.20031002867,872,ok,0,-138363.95592413243
2003Q1,11396236.199090203,22792.472398180405,863,ok,0,126527.20114390759
2003Q2,11522763.40023411,23045.526800468222,877,ok,0,12385.631028556323
2003Q3,11535149.031262668,23070.298062525337,862,ok,0,-48517.38790166909
2003Q4,11486631.643360998,22973.263286721998,939,ok,0,68600.9106521487
2004Q1,11555232.554013148,23110.465108026296,906,ok,0,113923.01240579465
2004Q2,11669155.566418942,23338.311132837884,886,ok,0,125784.07718319359
2004Q3,11794939.643602137,23589.879287204272,996,ok,0,-5822.060339099957
2004Q4,11789117.583263036,23578.235166526072,1011,ok,0,87436.34056087075
2005Q1,11876553.923823906,23753.107847647814,913,ok,0,82604.25030260111
2005Q2,11959158.174126508,23918.316348253014,985,ok,0,55966.14674544463
2005Q3,12015124.320871953,24030.248641743907,1078,ok,0,134099.4728201871
2005Q4,12149223.79369214,24298.447587384282,1019,ok,0,40868.8932197019
2006Q1,12190092.686911842,24380.185373823686,1026,ok,0,106261.8326551089
2006Q2,12296354.519566951,24592.709039133904,990,ok,0,69380.6082926581
2006Q3,12365735.12785961,24731.470255719218,1166,ok,0,52604.40577568303
