quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,quarter_realized_pnl
1995Q1,10000000.0,60000.0,0,ok,0,0.0
1995Q2,10000000.0,60000.0,0,ok,0,0.0
1995Q3,10000000.0,60000.0,0,ok,0,0.0
1995Q4,10000000.0,60000.0,0,ok,0,0.0
1996Q1,10000000.0,60000.0,360,ok,0,63229.60388914543
1996Q2,10063229.603889145,60379.37762333487,545,ok,0,866019.7509870749
1996Q3,10929249.35487622,65575.49612925733,1249,ok,0,885604.3359069974
1996Q4,11814853.690783218,70889.1221446993,1581,ok,0,872853.0176689342
1997Q1,12687706.708452152,76126.24025071292,1367,ok,0,-806987.9755105416
1997Q2,11880718.73294161,71284.31239764967,1361,ok,0,1918816.1278640986
1997Q3,13799534.860805709,82797.20916483426,1338,ok,0,1829157.2109969868
1997Q4,15628692.071802696,93772.15243081618,1366,ok,0,788423.5108915878
1998Q1,16417115.582694285,98502.69349616571,1742,ok,0,1066661.2248702282
1998Q2,17483776.807564512,104902.66084538707,1330,ok,0,1586553.155870073
1998Q3,19070329.963434584,114421.97978060751,1386,ok,0,247901.79507725133
1998Q4,19318231.758511838,115909.39055107103,1754,ok,0,4295285.165251583
1999Q1,23613516.92376342,141681.10154258052,1486,ok,0,39771.79997857801
1999Q2,23653288.723741997,141919.732342452,1694,ok,0,1776203.7241497356
1999Q3,25429492.447891735,152576.9546873504,1767,ok,0,1446025.5415763846
1999Q4,26875517.98946812,161253.10793680872,1424,ok,0,3403673.922909073
2000Q1,30279191.912377194,181675.15147426317,1772,ok,0,2593141.9300431306
2000Q2,32872333.842420325,197234.00305452195,1561,ok,0,1497368.677144624
2000Q3,34369702.51956495,206218.2151173897,1684,ok,0,367338.8641882059
2000Q4,34737041.38375316,208422.24830251894,1239,ok,0,-1674777.225384002
2001Q1,33062264.158369157,198373.58495021495,1379,ok,0,-4906061.8587297555
2001Q2,28156202.299639404,168937.21379783642,1526,ok,0,4966862.503946045
2001Q3,33123064.803585447,198738.3888215127,1313,ok,0,-1788207.3605858528
2001Q4,31334857.442999594,188009.14465799756,1671,ok,0,2254931.0960316407
2002Q1,33589788.53903124,201538.73123418743,1297,ok,0,143532.55399032249
2002Q2,33733321.09302156,202399.92655812934,1594,ok,0,4258116.594102815
2002Q3,37991437.68712437,227948.62612274624,1600,ok,0,371276.13335478224
2002Q4,38362713.820479155,230176.28292287493,1290,ok,0,-2583079.1239068066
2003Q1,35779634.69657235,214677.8081794341,1600,ok,0,1957907.7793681473
2003Q2,37737542.475940496,226425.25485564297,1290,ok,0,2588143.723657974
2003Q3,40325686.19959847,241954.11719759082,1600,ok,0,318770.24275416275
2003Q4,40644456.44235263,243866.7386541158,1703,ok,0,1516728.3592169045
2004Q1,42161184.80156954,252967.10880941723,1694,ok,0,981503.1317726304
2004Q2,43142687.933342166,258856.127600053,1701,ok,0,2864737.6964745624
2004Q3,46007425.629816726,276044.55377890036,1474,ok,0,441314.366104909
2004Q4,46448739.995921634,278692.4399755298,1531,ok,0,4959509.455324278
2005Q1,51408249.45124591,308449.49670747545,1562,ok,0,1635636.5970989128
2005Q2,53043886.04834482,318263.3162900689,1679,ok,0,806134.1998369651
2005Q3,53850020.24818178,323100.1214890907,1887,ok,0,3085559.008957412
2005Q4,56935579.25713919,341613.47554283513,1732,ok,0,3025885.8088600817
2006Q1,59961465.06599927,359768.7903959956,1736,ok,0,3795131.2475905158
2006Q2,63756596.31358978,382539.5778815387,1735,ok,0,2368941.8512217537
2006Q3,66125538.16481154,396753.22898886923,1779,ok,0,-616292.8917328402
2006Q4,65509245.273078695,393055.47163847217,1778,ok,0,1890509.8885949135
2007Q1,67399755.1616736,404398.53097004164,1886,ok,0,2115111.609218677
2007Q2,69514866.77089228,417089.20062535367,1938,ok,0,4536220.824525751
2007Q3,74051087.59541804,444306.5255725082,1906,ok,0,5849568.671126432
2007Q4,79900656.26654446,479403.93759926676,1965,ok,0,1794049.909876617
2008Q1,81694706.17642108,490168.2370585265,1852,ok,0,-5968261.091915694
2008Q2,75726445.08450538,454358.6705070323,1920,ok,0,3520772.6422077157
2008Q3,79247217.72671309,475483.30636027857,1949,ok,0,-9163358.487238066
2008Q4,70083859.23947503,420503.15543685015,1848,ok,0,-4282183.230989604
2009Q1,65801676.00848542,394810.05605091254,1947,ok,0,-5700648.43763063
2009Q2,60101027.57085479,360606.16542512877,1876,ok,0,926424.1864225673
2009Q3,61027451.757277355,366164.7105436641,1908,ok,0,608743.8338711825
2009Q4,61636195.59114854,369817.17354689125,1916,ok,0,2183783.955823062
2010Q1,63819979.546971604,382919.87728182966,1951,ok,0,1820598.611320889
2010Q2,65640578.158292495,393843.46894975496,1950,ok,0,-3942432.7465981185
2010Q3,61698145.41169438,370188.8724701663,1961,ok,0,6108228.779346613
2010Q4,67806374.191041,406838.245146246,1979,ok,0,1864940.4420838915
2011Q1,69671314.63312489,418027.8877987493,1815,ok,0,2396108.648779946
2011Q2,72067423.28190483,432404.539691429,1852,ok,0,3134507.133110721
2011Q3,75201930.41501555,451211.5824900933,1846,ok,0,-11791382.228717979
2011Q4,63410548.186297566,380463.2891177854,1847,ok,0,5830387.12079379
2012Q1,69240935.30709136,415445.6118425481,1843,ok,0,5140575.6439032685
2012Q2,74381510.95099463,446289.0657059678,1878,ok,0,817393.8532495355
2012Q3,75198904.80424416,451193.428825465,1885,ok,0,486270.09380552627
2012Q4,75685174.89804968,454111.0493882981,1871,ok,0,-839914.3702860249
2013Q1,74845260.52776366,449071.563166582,1860,ok,0,4992597.862572347
2013Q2,79837858.390336,479027.1503420161,1859,ok,0,1039771.995005317
2013Q3,80877630.38534132,485265.7823120479,1845,ok,0,4150213.717968926
2013Q4,85027844.10331024,510167.0646198615,1820,ok,0,1098171.8938931832
2014Q1,86126015.99720342,516756.09598322056,0,ok,0,1520057.639492141
2014Q2,87646073.63669556,525876.4418201734,0,ok,0,-194761.1300978947
