quarter,trailing_nav_used,base_unit,n_new_positions,cap_status,n_dropped_low_conviction,net_exposure,quarter_realized_pnl
1995Q1,10000000.0,30000.0,0,ok,0,0.0,0.0
1995Q2,10000000.0,30000.0,0,ok,0,0.0,0.0
1995Q3,10000000.0,30000.0,0,ok,0,0.0,0.0
1995Q4,10000000.0,30000.0,0,ok,0,0.0,0.0
1996Q1,10000000.0,30000.0,361,ok,0,-832880.8437039924,1182.605619011396
1996Q2,10001182.605619011,30003.547816857033,546,ok,0,209635.7868929486,202083.88985616105
1996Q3,10203266.495475173,30609.79948642552,1252,ok,0,-501933.76499120466,18708.74885830868
1996Q4,10221975.244333481,30665.925733000444,1593,ok,0,517271.87795123947,126828.66117219559
1997Q1,10348803.905505678,31046.411716517032,1374,ok,0,-1106773.7150930702,35321.43157473387
1997Q2,10384125.337080412,31152.376011241235,1372,ok,0,-387552.16708268423,87945.3650198096
1997Q3,10472070.702100221,31416.212106300663,1356,ok,0,168450.4691097985,201869.8435687104
1997Q4,10673940.545668932,32021.821637006797,1381,ok,0,-923583.6317004673,332246.484549786
1998Q1,11006187.030218719,33018.561090656156,1753,ok,0,-561170.8573384106,46832.866604847186
1998Q2,11053019.896823566,33159.0596904707,1342,ok,0,-1695983.527074539,269910.2119121876
1998Q3,11322930.108735753,33968.79032620726,1395,ok,0,-1961401.4829388107,274837.6186054968
1998Q4,11597767.72734125,34793.30318202375,1776,ok,0,81317.3284609468,685180.2955555746
1999Q1,12282948.022896824,36848.84406869047,1500,ok,0,-1932150.8177292217,-202832.80240904423
1999Q2,12080115.22048778,36240.34566146335,1709,ok,0,-1849012.2557694616,-30470.503575339517
1999Q3,12049644.716912441,36148.934150737325,1797,ok,0,-1833226.2815872035,104160.78882238988
1999Q4,12153805.505734831,36461.416517204496,1448,ok,0,836971.5953039948,485436.8229798667
2000Q1,12639242.328714699,37917.726986144095,1793,ok,0,-1576082.5271247556,217429.33002638305
2000Q2,12856671.658741081,38570.01497622325,1584,ok,0,-1068574.313125318,426596.0534866968
2000Q3,13283267.712227779,39849.80313668334,1705,ok,0,-1979904.661306242,159424.47486119502
2000Q4,13442692.187088974,40328.07656126692,1267,ok,0,-174203.7862380126,-248338.68194333737
2001Q1,13194353.505145637,39583.06051543691,1391,ok,0,-1993326.299351336,-645457.3831800094
2001Q2,12548896.121965628,37646.68836589689,1540,ok,0,2142024.1120927013,545813.0902101025
2001Q3,13094709.21217573,39284.12763652719,1334,ok,0,1205519.3422246985,193162.48093776364
2001Q4,13287871.693113495,39863.61507934048,1684,ok,0,-3300.121765460819,37440.38716055872
2002Q1,13325312.080274053,39975.93624082216,1309,ok,0,-450849.6341130101,16082.873339232272
2002Q2,13341394.953613285,40024.18486083986,1598,ok,0,152343.60572519404,280102.9968664241
2002Q3,13621497.950479709,40864.493851439125,1605,ok,0,1609274.1093349673,-2657.2992458355147
2002Q4,13618840.651233872,40856.52195370162,1300,ok,0,2636157.197810281,-221976.40217301616
2003Q1,13396864.249060856,40190.59274718257,1608,ok,0,-1642810.3014027155,150478.76529573926
2003Q2,13547343.014356595,40642.029043069786,1296,ok,0,1056247.9213056972,71608.28632781567
2003Q3,13618951.300684411,40856.85390205323,1611,ok,0,-1857719.444090712,-364511.69907278207
