cell,decile,decay_day,n_events
fine:1_1_1,1,25,492
fine:1_1_2,1,16,577
fine:1_1_3,1,16,2448
fine:1_2_1,1,21,885
fine:1_2_2,1,16,1027
fine:1_2_3,1,16,2167
fine:1_3_1,1,16,974
fine:1_3_2,1,38,1242
fine:1_3_3,1,21,1674
fine:1_4_1,1,17,823
fine:1_4_2,1,16,1221
fine:1_4_3,1,16,1238
fine:1_5_1,1,16,860
fine:1_5_2,1,23,966
fine:1_5_3,1,22,875
fine:2_1_1,2,23,462
fine:2_1_2,2,16,469
fine:2_1_3,2,17,1670
fine:2_2_1,2,16,946
fine:2_2_2,2,26,1077
fine:2_2_3,2,16,1767
fine:2_3_1,2,19,964
fine:2_3_2,2,17,1292
fine:2_3_3,2,16,1464
fine:2_4_1,2,16,1072
fine:2_4_2,2,18,1423
fine:2_4_3,2,16,1212
fine:2_5_1,2,16,1265
fine:2_5_2,2,16,1358
fine:2_5_3,2,16,1013
fine:3_1_1,3,16,454
fine:3_1_2,3,22,472
fine:3_1_3,3,19,1362
fine:3_2_1,3,16,832
fine:3_2_2,3,16,932
fine:3_2_3,3,17,1417
fine:3_3_1,3,19,965
fine:3_3_2,3,16,1159
fine:3_3_3,3,16,1319
fine:3_4_1,3,16,1011
fine:3_4_2,3,17,1372
fine:3_4_3,3,16,1176
fine:3_5_1,3,16,1214
fine:3_5_2,3,16,1357
fine:3_5_3,3,16,1043
fine:4_1_1,4,17,476
fine:4_1_2,4,18,506
fine:4_1_3,4,16,1269
fine:4_2_1,4,24,1116
fine:4_2_2,4,18,1267
fine:4_2_3,4,18,1626
fine:4_3_1,4,36,1345
fine:4_3_2,4,17,1686
fine:4_3_3,4,22,1431
fine:4_4_1,4,16,1644
fine:4_4_2,4,16,1976
fine:4_4_3,4,18,1327
fine:4_5_1,4,17,2859
fine:4_5_2,4,16,2070
fine:4_5_3,4,16,1046
fine:5_1_3,5,16,900
fine:5_2_1,5,16,616
fine:5_2_2,5,17,684
fine:5_2_3,5,19,1041
fine:5_3_1,5,22,918
fine:5_3_2,5,16,1047
fine:5_3_3,5,18,1025
fine:5_4_1,5,16,1113
fine:5_4_2,5,18,1350
fine:5_4_3,5,21,960
fine:5_5_1,5,29,1705
fine:5_5_2,5,16,1544
fine:5_5_3,5,16,906
med:5_1,5,22,615
fine:6_1_3,6,16,988
fine:6_2_1,6,16,900
fine:6_2_2,6,16,1054
fine:6_2_3,6,16,1250
fine:6_3_1,6,16,1332
fine:6_3_2,6,16,1360
fine:6_3_3,6,16,1183
fine:6_4_1,6,16,1620
fine:6_4_2,6,16,1602
fine:6_4_3,6,21,1073
fine:6_5_1,6,22,2355
fine:6_5_2,6,16,1914
fine:6_5_3,6,16,961
med:6_1,6,16,754
fine:7_1_3,7,17,816
fine:7_2_1,7,16,889
fine:7_2_2,7,21,946
fine:7_2_3,7,17,1094
fine:7_3_1,7,19,1262
fine:7_3_2,7,16,1335
fine:7_3_3,7,16,1044
fine:7_4_1,7,16,1747
fine:7_4_2,7,16,1587
fine:7_4_3,7,29,1026
fine:7_5_1,7,16,2449
fine:7_5_2,7,17,1749
fine:7_5_3,7,16,894
med:7_1,7,31,696
fine:8_1_3,8,22,898
fine:8_2_1,8,16,801
fine:8_2_2,8,16,926
fine:8_2_3,8,16,1060
fine:8_3_1,8,18,1263
fine:8_3_2,8,52,1235
fine:8_3_3,8,17,1003
fine:8_4_1,8,16,1634
fine:8_4_2,8,18,1468
fine:8_4_3,8,21,926
fine:8_5_1,8,22,2335
fine:8_5_2,8,16,1708
fine:8_5_3,8,17,880
med:8_1,8,21,659
fine:9_1_3,9,16,852
fine:9_2_1,9,17,920
fine:9_2_2,9,17,955
fine:9_2_3,9,16,1095
fine:9_3_1,9,23,1493
fine:9_3_2,9,16,1271
fine:9_3_3,9,27,999
fine:9_4_1,9,19,1897
fine:9_4_2,9,16,1707
fine:9_4_3,9,16,977
fine:9_5_1,9,16,2500
fine:9_5_2,9,16,1653
fine:9_5_3,9,23,915
med:9_1,9,28,626
fine:10_1_3,10,17,865
fine:10_2_1,10,29,895
fine:10_2_2,10,16,1095
fine:10_2_3,10,16,1184
fine:10_3_1,10,25,1422
fine:10_3_2,10,25,1313
fine:10_3_3,10,29,1190
fine:10_4_1,10,18,1861
fine:10_4_2,10,22,1721
fine:10_4_3,10,17,975
fine:10_5_1,10,16,2003
fine:10_5_2,10,16,1445
fine:10_5_3,10,17,814
med:10_1,10,19,621
