decile,horizon,cumulative_mean,marginal_return,marginal_per_day
1,1,-0.004739445243047129,-0.004739445243047129,-0.004739445243047129
1,5,-0.007854192803273064,-0.0031147475602259344,-0.0007786868900564836
1,10,-0.006477619754713982,0.001376573048559082,0.0002753146097118164
1,20,-0.0038612533946628313,0.0026163663600511505,0.00026163663600511504
1,40,-0.0006443751835777944,0.003216878211085037,0.00016084391055425185
1,60,0.0019400803754644942,0.0025844555590422884,0.00012922277795211442
1,80,0.002490680017415871,0.000550599641951377,2.7529982097568847e-05
1,100,0.005915961166292107,0.0034252811488762356,0.00017126405744381177
1,120,0.007613773032946682,0.001697811866654575,8.489059333272874e-05
1,150,0.01620923305473225,0.008595460021785569,0.00028651533405951897
1,180,0.019393121165713394,0.0031838881109811437,0.00010612960369937146
2,1,-0.003205556702318638,-0.003205556702318638,-0.003205556702318638
2,5,-0.005165844710445841,-0.001960288008127203,-0.0004900720020318008
2,10,-0.004180715688482822,0.0009851290219630195,0.00019702580439260388
2,20,-0.0015461061787029077,0.002634609509779914,0.0002634609509779914
2,40,0.0011421052515678566,0.0026882114302707646,0.00013441057151353822
2,60,0.002945375620355303,0.0018032703687874462,9.016351843937231e-05
2,80,0.003932624370437252,0.0009872487500819493,4.9362437504097464e-05
2,100,0.0074380389077384245,0.0035054145373011724,0.00017527072686505861
2,120,0.0074245706059732535,-1.3468301765170998e-05,-6.734150882585499e-07
2,150,0.013699329476598125,0.006274758870624872,0.00020915862902082905
2,180,0.011851424272715396,-0.0018479052038827288,-6.159684012942429e-05
3,1,-0.002183841918631824,-0.002183841918631824,-0.002183841918631824
3,5,-0.0027847969481931303,-0.0006009550295613063,-0.00015023875739032658
3,10,-0.0017551709314106805,0.0010296260167824498,0.00020592520335648996
3,20,0.0015771978706225318,0.003332368802033212,0.0003332368802033212
3,40,0.004166718622059061,0.0025895207514365294,0.00012947603757182646
3,60,0.009260903017174006,0.005094184395114945,0.0002547092197557472
3,80,0.013116220013432224,0.0038553169962582175,0.00019276584981291087
3,100,0.013562792615452127,0.00044657260201990366,2.2328630100995184e-05
3,120,0.015868462006995796,0.002305669391543669,0.00011528346957718344
3,150,0.02355331171755958,0.0076848497105637854,0.00025616165701879286
3,180,0.024421037594565584,0.0008677258770060023,2.8924195900200077e-05
4,1,-0.0011020707293583408,-0.0011020707293583408,-0.0011020707293583408
4,5,-0.0015263920025539424,-0.00042432127319560163,-0.00010608031829890041
4,10,-0.0007580657761691455,0.0007683262263847969,0.00015366524527695937
4,20,0.0016599030531076514,0.002417968829276797,0.00024179688292767969
