trim,tilt_power,ml_blend_weight,base_unit_fraction,max_gross_leverage,search_ann_ret,search_sharpe,holdout_ann_ret,holdout_sharpe,final_nav,n_positions
0.1,0.75,0.0,0.002,1.5,0.039066773206156036,1.1057427253733596,0.017986784692980873,0.4108004496196001,18765703.259196777,120016
0.1,0.75,0.0,0.002,2.0,0.042042475264451706,1.0114254740691813,0.02405067553874951,0.5552774524709296,20196349.546227288,120016
0.1,0.75,0.0,0.002,2.5,0.042042475264451706,1.0114254740691813,0.02405067553874951,0.5552774524709296,20196349.546227288,120016
0.1,0.75,0.0,0.002,3.0,0.042042475264451706,1.0114254740691813,0.02405067553874951,0.5552774524709296,20196349.546227288,120016
0.1,0.75,0.0,0.0025,1.5,0.038442008038674036,1.0259140694713258,0.020197203255427842,0.4301941416124425,18844718.474050976,120016
0.1,0.75,0.0,0.0025,2.0,0.04728727017430834,1.0378177902171875,0.02065009402219964,0.39900163338544764,21229860.92093064,120016
0.1,0.75,0.0,0.0025,2.5,0.04916128763266969,0.9732551414603038,0.02655353079642908,0.5307612731260819,22491853.498020552,120016
0.1,0.75,0.0,0.0025,3.0,0.04916128763266969,0.9732551414603038,0.02655353079642908,0.5307612731260819,22491853.498020552,120016
0.1,0.75,0.0,0.003,1.5,0.03727294135609882,0.9103582091489347,0.01757804815709485,0.35876687008823116,18282848.776426915,120016
0.1,0.75,0.0,0.003,2.0,0.046713581568931684,1.001425769753859,0.013824347792703362,0.26799648710407153,20273031.196458332,120016
0.1,0.75,0.0,0.003,2.5,0.055213726655299444,0.9637031685869979,0.023688518389277435,0.40614887604651534,23954989.040967703,120016
0.1,0.75,0.0,0.003,3.0,0.05637757895553697,0.9632559453908457,0.027661540928995754,0.4935552619750967,24868623.819623046,120016
0.1,0.75,0.0,0.0035,1.5,0.03605864353510513,0.8420341373147259,0.01335383409600599,0.27596455857047114,17565522.088030465,120016
0.1,0.75,0.0,0.0035,2.0,0.048539118509836277,1.004797303695112,0.017279016020208315,0.31487188258050974,21174797.337542433,120016
0.1,0.75,0.0,0.0035,2.5,0.058238935646929946,1.0495911023422453,0.015495313534321875,0.26867352847709236,23791643.081829436,120016
0.1,0.75,0.0,0.0035,3.0,0.06300819261460444,0.9574484505218531,0.02666840221018152,0.4190080858977443,26952685.07109151,120016
0.1,0.75,0.0,0.004,1.5,0.03619417570454764,0.8411176001118735,0.010950875521601455,0.2385024266648618,17358555.1000929,120016
0.1,0.75,0.0,0.004,2.0,0.048558283597677665,0.9530547152997904,0.01760350359275864,0.29822892137450274,21218995.780165106,120016
0.1,0.75,0.0,0.004,2.5,0.056129140684853196,0.9932802786293833,0.008365751516883568,0.15503189579632193,22228650.822940417,120016
0.1,0.75,0.0,0.004,3.0,0.06579092502272599,0.9742303951386488,0.01608962549304027,0.24837560296451597,26323846.279431596,120016
0.1,0.75,0.25,0.002,1.5,0.038506166618611504,1.0026991760955495,0.018183500613577763,0.42163672883207176,18647673.775690056,114780
0.1,0.75,0.25,0.002,2.0,0.04072269044056709,0.9672044639284868,0.025057632936245078,0.586175943879914,19959938.7475305,114780
0.1,0.75,0.25,0.002,2.5,0.04072269044056709,0.9672044639284868,0.025057632936245078,0.586175943879914,19959938.7475305,114780
0.1,0.75,0.25,0.002,3.0,0.04072269044056709,0.9672044639284868,0.025057632936245078,0.586175943879914,19959938.7475305,114780
0.1,0.75,0.25,0.0025,1.5,0.041697221935394824,0.9877173852153566,0.014617534635317675,0.32268525671526105,19062694.909741897,114780
0.1,0.75,0.25,0.0025,2.0,0.0462000724515097,0.9401040653883279,0.023878586888907316,0.46210977929070607,21312353.031482853,114780
0.1,0.75,0.25,0.0025,2.5,0.0478770840640097,0.9295645230983891,0.027338588616393045,0.5520072581685146,22213675.449013323,114780
0.1,0.75,0.25,0.0025,3.0,0.0478770840640097,0.9295645230983891,0.027338588616393045,0.5520072581685146,22213675.449013323,114780
0.1,0.75,0.25,0.003,1.5,0.039581358558681945,0.8864109549525473,0.0189070123870565,0.39040718163585103,18992311.04237571,114780
0.1,0.75,0.25,0.003,2.0,0.04752899433091673,0.9216178095536106,0.012812310289029183,0.24164989484869698,20373929.915424265,114780
0.1,0.75,0.25,0.003,2.5,0.05422333195500251,0.9140322356789095,0.02761579702402761,0.4745687485694421,24174111.14538624,114780
0.1,0.75,0.25,0.003,3.0,0.054536493148223064,0.9139022937651549,0.028693833007265912,0.5039568603316004,24419820.58010239,114780
0.1,0.75,0.25,0.0035,1.5,0.03856667195439156,0.8368673874720319,0.015372929782250022,0.32004422565396173,18368337.013722785,114780
0.1,0.75,0.25,0.0035,2.0,0.051616347367469784,0.9514163962652121,0.011269694793629936,0.20922186960543337,21307057.42171175,114780
0.1,0.75,0.25,0.0035,2.5,0.05636833642226757,0.9163949949793818,0.017760696986550917,0.28948054467218637,23519281.15700093,114780
0.1,0.75,0.25,0.0035,3.0,0.060874394945413135,0.9039358865366658,0.028419825579844016,0.44657264079486675,26476439.673745118,114780
0.1,0.75,0.25,0.004,1.5,0.0373462222133385,0.7678808966421967,0.013311336822680708,0.26884757837648215,17863763.76290729,114780
0.1,0.75,0.25,0.004,2.0,0.0511098559761034,0.8932195429642167,0.010853923309068092,0.19543212786010283,21116395.90558736,114780
0.1,0.75,0.25,0.004,2.5,0.05769843531686902,0.9072668159299461,0.010624994946207389,0.17877866777119567,22980967.189221833,114780
0.1,0.75,0.25,0.004,3.0,0.06299469959324555,0.8768676684575968,0.02149052727443479,0.3063042015241424,26175807.429057732,114780
0.1,0.75,0.5,0.002,1.5,0.03511156601211396,0.7487938349612636,0.012262186145489684,0.26666008408920494,17238850.232993502,109829
0.1,0.75,0.5,0.002,2.0,0.035273332971565985,0.7349987739441683,0.018551933362496387,0.41069396003225905,17902343.96995134,109829
0.1,0.75,0.5,0.002,2.5,0.035273332971565985,0.7349987739441683,0.018551933362496387,0.41069396003225905,17902343.96995134,109829
0.1,0.75,0.5,0.002,3.0,0.035273332971565985,0.7349987739441683,0.018551933362496387,0.41069396003225905,17902343.96995134,109829
0.1,0.75,0.5,0.0025,1.5,0.038567129116075405,0.74763168374839,0.006694845738595578,0.1515112516197051,17483886.846770216,109829
0.1,0.75,0.5,0.0025,2.0,0.04090166948330687,0.7080344790451351,0.018674070798359033,0.3477684326491444,19301281.4227591,109829
0.1,0.75,0.5,0.0025,2.5,0.04160463223467081,0.7174710765644615,0.02043723165097111,0.3918373194703517,19675968.221798442,109829
0.1,0.75,0.5,0.0025,3.0,0.04160463223467081,0.7174710765644615,0.02043723165097111,0.3918373194703517,19675968.221798442,109829
0.1,0.75,0.5,0.003,1.5,0.03988945390570442,0.7234994843056838,0.0023674972578611175,0.06945686247919462,17357163.34980115,109829
0.1,0.75,0.5,0.003,2.0,0.04542228823682226,0.6921742964557445,0.007095442156060727,0.13920189500376462,19183054.284524255,109829
0.1,0.75,0.5,0.003,2.5,0.04743508590516288,0.7023170012871317,0.02057168874972315,0.3499244080540531,21261704.799351417,109829
0.1,0.75,0.5,0.003,3.0,0.0474544040266649,0.702385125109506,0.020421437582518243,0.34740481642297805,21249100.357693743,109829
0.1,0.75,0.5,0.0035,1.5,0.041188183376383414,0.7129537385341245,0.0002528056344464069,0.032843542962264306,17444484.703506444,109829
0.1,0.75,0.5,0.0035,2.0,0.04873400750610246,0.727418640603877,0.0026576408344873848,0.07241821390497233,19533335.897357985,109829
0.1,0.75,0.5,0.0035,2.5,0.05278779651429155,0.712001519580705,0.007698728752553841,0.13727679201019138,21200112.511567723,109829
0.1,0.75,0.5,0.0035,3.0,0.05275448453294995,0.692595480688078,0.01963000799062886,0.30074605460502346,22674756.12305396,109829
0.1,0.75,0.5,0.004,1.5,0.03590445478887516,0.6166203627591764,0.0030296243649869936,0.07947251095193436,16527227.489560103,109829
0.1,0.75,0.5,0.004,2.0,0.04952023978060138,0.7175244111631048,-0.0013955493369443017,0.017968921459527158,19281302.176060647,109829
0.1,0.75,0.5,0.004,2.5,0.052292024562320405,0.6545520181007625,0.0016525109029961182,0.061064566340473726,20346844.560918845,109829
0.1,0.75,0.5,0.004,3.0,0.055676517664284386,0.6647918179147182,0.012576695941955318,0.18716029069005446,22633927.932641897,109829
0.1,0.75,0.75,0.002,1.5,0.02741060813298546,0.5530606370599794,0.006784039581013923,0.14562995226787256,15078720.060066456,113666
0.1,0.75,0.75,0.002,2.0,0.026751361737586077,0.5500281536097348,0.013328057441846619,0.270449407344522,15513528.676501095,113666
0.1,0.75,0.75,0.002,2.5,0.026751361737586077,0.5500281536097348,0.013328057441846619,0.270449407344522,15513528.676501095,113666
0.1,0.75,0.75,0.002,3.0,0.026751361737586077,0.5500281536097348,0.013328057441846619,0.270449407344522,15513528.676501095,113666
0.1,0.75,0.75,0.0025,1.5,0.031945807544385696,0.6087004779425079,0.0006471500235498695,0.04239172410198852,15466704.462283004,113666
0.1,0.75,0.75,0.0025,2.0,0.031556648761866146,0.53826921402405,0.010083907237818712,0.17926989871714502,16239970.43670914,113666
0.1,0.75,0.75,0.0025,2.5,0.03140460240550946,0.5356627824633136,0.01608976747029356,0.2788415285856669,16769074.394360282,113666
0.1,0.75,0.75,0.0025,3.0,0.03140460240550946,0.5356627824633136,0.01608976747029356,0.2788415285856669,16769074.394360282,113666
0.1,0.75,0.75,0.003,1.5,0.032684392527884576,0.6083025594522907,-7.196227721895099e-05,0.03267964725796634,15555177.58407909,113666
0.1,0.75,0.75,0.003,2.0,0.03736967048742956,0.5594361267663538,0.00299683273111917,0.07732898968977404,16848403.012743156,113666
0.1,0.75,0.75,0.003,2.5,0.03628690360198439,0.530192778902432,0.014434570899866994,0.22540477211122734,17727127.53379062,113666
0.1,0.75,0.75,0.003,3.0,0.03582235115904986,0.5256125535772437,0.01733621315087963,0.2679252280096698,17909912.78849665,113666
