horizon,decile,mean,se,t_stat,n_events,n_quarters
1,1,-0.004268693148398091,0.00047534334887591484,-8.980231149741835,17466,72
1,2,-0.0030775191989748365,0.0003768121323806786,-8.167250824784322,17454,72
1,3,-0.001834169707488456,0.00037239228101383664,-4.925369834452356,16085,72
1,4,-0.0008626910582743608,0.00029172394272002875,-2.95721719043917,21642,72
1,5,0.0006487124546219686,0.0003458076136773402,1.875934562930871,14424,72
1,6,0.00026551254157796973,0.0003473178312917952,0.764465620985933,18343,72
1,7,0.0013895935499188827,0.0003522188786821189,3.9452557316582824,17534,72
1,8,0.001564048389150135,0.000339442871394763,4.607692548450041,16795,72
1,9,0.0029393379061787477,0.0003300861500587949,8.904759880580245,17857,72
1,10,0.003715819701184234,0.0003384055120690074,10.980375817361116,17404,72
5,1,-0.007818671460087887,0.0008092767087124586,-9.66130790113461,17452,72
5,2,-0.0055804778955440846,0.0006423307194238836,-8.68785771377913,17446,72
5,3,-0.0025568050009387466,0.0006022657914218813,-4.2453100231750165,16081,72
5,4,-0.0014005496649000834,0.0006073138539693695,-2.3061381783836628,21633,72
5,5,-0.00044374815453145544,0.0007067236318662052,-0.6278948863782505,14416,72
5,6,7.902218702230998e-06,0.0005488804669013404,0.014396975623567596,18336,72
5,7,0.0017928874778204715,0.0006340931661377136,2.8274827321370135,17528,72
5,8,0.003081855342523315,0.0005121805437934355,6.01712692891013,16786,72
5,9,0.005056600023936199,0.0006469014453424458,7.816646662861328,17847,72
5,10,0.00811179836909092,0.0006993368791032836,11.599271554922394,17398,72
10,1,-0.008238354526264702,0.001095752139511424,-7.518447127959097,17419,72
10,2,-0.006534416307649242,0.0009452602067624104,-6.912822798317222,17432,72
10,3,-0.003073048248765042,0.0007285069190354776,-4.218282858361415,16069,72
10,4,-0.002075713259822533,0.00072081590654373,-2.8796718287966985,21619,72
10,5,-0.0011060287059326665,0.000878690752593983,-1.2587235072948693,14406,72
10,6,-0.0001288196692185295,0.0007511750799435784,-0.17149087164633484,18328,72
10,7,0.0023788064576565657,0.0007742287885511947,3.0724851527518093,17517,72
10,8,0.002807063027558036,0.0006624071949538741,4.237669893898877,16780,72
10,9,0.006739546843699837,0.0008092427445037534,8.328214110628432,17840,72
10,10,0.00970231230862296,0.0008640045164988108,11.229469433724093,17384,72
20,1,-0.009546522761002787,0.0013659959500185003,-6.9886903843847366,17376,72
20,2,-0.0076446214209830755,0.0010075482373413447,-7.587350300125802,17402,72
20,3,-0.0034222405490234456,0.0010516561487846886,-3.2541440022751202,16043,72
20,4,-0.002552122244143811,0.0011615114444870507,-2.1972424432467688,21594,72
20,5,-0.0010102332208389013,0.0012924979328074718,-0.78161302637022,14391,72
20,6,-0.0006707460341392386,0.001227714373686316,-0.5463372006676659,18313,72
20,7,0.002080487878930472,0.0011794251965198583,1.763984596114606,17498,72
20,8,0.004003580951870154,0.0008958408159617835,4.469076291831904,16759,72
20,9,0.007752849618030098,0.0009656166706799816,8.028910284420201,17828,72
20,10,0.012223621238128028,0.001205365219795839,10.141010406952365,17350,72
40,1,-0.011975516306788595,0.0017545010172571641,-6.825596673355075,17265,72
40,2,-0.00890727195270243,0.0019813773771977378,-4.4954949295423905,17317,72
40,3,-0.00439925570337675,0.0016889870532454292,-2.604671063003991,15978,72
40,4,-0.00524639403587937,0.0018321276218391273,-2.8635527205320623,21517,72
40,5,-0.0018067629167580384,0.0019197108474909308,-0.9411640920399467,14343,72
40,6,-0.0011009677869699315,0.0013532789161532545,-0.8135557081606454,18261,72
40,7,0.002208390404283637,0.001746481256626951,1.264479876840356,17446,72
40,8,0.0066996643839521,0.0016022612012197507,4.181380900225168,16710,72
40,9,0.008876664095507178,0.0016752079032013585,5.298843253153045,17770,72
40,10,0.01596604338127092,0.0017926612885578968,8.906335783105337,17282,72
60,1,-0.017123640285828863,0.0026326797879203,-6.504262449386516,17140,72
60,2,-0.012905445337977458,0.0025321920640141524,-5.096550740120055,17222,72
60,3,-0.005281314442139635,0.0029729755371054366,-1.7764405983917564,15907,72
60,4,-0.0073550641245474875,0.0024756794075360294,-2.9709275369656063,21430,72
60,5,-0.0014379138374002066,0.002599547617039573,-0.5531400263549461,14284,72
60,6,-0.0015101415483138902,0.001578414122746482,-0.9567460950528016,18189,72
60,7,0.003044435646577601,0.002176344023285113,1.3988761032284478,17389,72
60,8,0.011370201892818597,0.001953400011013224,5.820723778393398,16654,72
60,9,0.01369553956451553,0.0022329711615647636,6.133325768040069,17694,72
60,10,0.02048774712487331,0.0024059330856067607,8.515509948069248,17208,72
