horizon,trim,tilt_power,n_active,mean_weighted_return,sharpe_proxy
1,0.0,0.5,124866,0.0028703693185290883,0.023148731468277263
1,0.05,0.5,124866,0.0028703693185290883,0.023148731468277263
1,0.1,0.5,124866,0.0028703693185290883,0.023148731468277263
1,0.15,0.5,100755,0.0028650847563944323,0.021106460294347134
1,0.2,0.5,100755,0.0028650847563944323,0.021106460294347134
1,0.3,0.5,100755,0.0028650847563944323,0.021106460294347134
1,0.4,0.5,72301,0.0033652952203341215,0.022977493439770843
1,0.0,0.75,124866,0.0030004301683729494,0.02638763786601323
1,0.05,0.75,124866,0.0030004301683729494,0.02638763786601323
1,0.1,0.75,124866,0.0030004301683729494,0.02638763786601323
1,0.15,0.75,100755,0.00300542760122802,0.02389985604319082
1,0.2,0.75,100755,0.00300542760122802,0.02389985604319082
1,0.3,0.75,100755,0.00300542760122802,0.02389985604319082
1,0.4,0.75,72301,0.0034388292044054865,0.024566170253321966
1,0.0,1.0,124866,0.00313067089708218,0.029380645821571988
1,0.05,1.0,124866,0.00313067089708218,0.029380645821571988
1,0.1,1.0,124866,0.00313067089708218,0.029380645821571988
1,0.15,1.0,100755,0.00313914287997184,0.026529803624768512
1,0.2,1.0,100755,0.00313914287997184,0.026529803624768512
1,0.3,1.0,100755,0.00313914287997184,0.026529803624768512
1,0.4,1.0,72301,0.0035105656356241577,0.02609343801307039
1,0.0,1.5,124866,0.003375621986687306,0.034660391611858764
1,0.05,1.5,124866,0.003375621986687306,0.034660391611858764
1,0.1,1.5,124866,0.003375621986687306,0.034660391611858764
1,0.15,1.5,100755,0.0033828330032240873,0.031212305974859255
1,0.2,1.5,100755,0.0033828330032240873,0.031212305974859255
1,0.3,1.5,100755,0.0033828330032240873,0.031212305974859255
1,0.4,1.5,72301,0.0036475681651916723,0.028928720303966992
1,0.0,2.0,124866,0.003588334488417619,0.039068093846653384
1,0.05,2.0,124866,0.003588334488417619,0.039068093846653384
1,0.1,2.0,124866,0.003588334488417619,0.039068093846653384
1,0.15,2.0,100755,0.0035923579791317865,0.0351358008243323
1,0.2,2.0,100755,0.0035923579791317865,0.0351358008243323
1,0.3,2.0,100755,0.0035923579791317865,0.0351358008243323
1,0.4,2.0,72301,0.0037745869046487777,0.03144465345993535
5,0.0,0.5,124610,0.01162687655618085,0.05315327428428136
5,0.05,0.5,124610,0.01162687655618085,0.05315327428428136
5,0.1,0.5,124610,0.01162687655618085,0.05315327428428136
5,0.15,0.5,100559,0.0119640408127721,0.050016640896081564
5,0.2,0.5,100559,0.0119640408127721,0.050016640896081564
5,0.3,0.5,100559,0.0119640408127721,0.050016640896081564
5,0.4,0.5,72144,0.013745811207735594,0.05241262433097676
5,0.0,0.75,124610,0.012174680152668588,0.06054239094213612
5,0.05,0.75,124610,0.012174680152668588,0.06054239094213612
5,0.1,0.75,124610,0.012174680152668588,0.06054239094213612
5,0.15,0.75,100559,0.012425376314296297,0.05589798778433464
5,0.2,0.75,100559,0.012425376314296297,0.05589798778433464
5,0.3,0.75,100559,0.012425376314296297,0.05589798778433464
5,0.4,0.75,72144,0.013961080202042923,0.055832133164345765
5,0.0,1.0,124610,0.012684396011233839,0.06722253841241005
5,0.05,1.0,124610,0.012684396011233839,0.06722253841241005
5,0.1,1.0,124610,0.012684396011233839,0.06722253841241005
5,0.15,1.0,100559,0.012863852340510924,0.061409625944834095
5,0.2,1.0,100559,0.012863852340510924,0.061409625944834095
5,0.3,1.0,100559,0.012863852340510924,0.061409625944834095
5,0.4,1.0,72144,0.014173966709159932,0.05911516544444868
5,0.0,1.5,124610,0.013577514897039004,0.07874425708662504
5,0.05,1.5,124610,0.013577514897039004,0.07874425708662504
5,0.1,1.5,124610,0.013577514897039004,0.07874425708662504
5,0.15,1.5,100559,0.013661840511982739,0.0712119518914694
5,0.2,1.5,100559,0.013661840511982739,0.0712119518914694
5,0.3,1.5,100559,0.013661840511982739,0.0712119518914694
5,0.4,1.5,72144,0.014588933421042026,0.0652037382134241
5,0.0,2.0,124610,0.014312964059595151,0.08820345334550955
5,0.05,2.0,124610,0.014312964059595151,0.08820345334550955
5,0.1,2.0,124610,0.014312964059595151,0.08820345334550955
5,0.15,2.0,100559,0.014349417130655993,0.07945194361917464
5,0.2,2.0,100559,0.014349417130655993,0.07945194361917464
5,0.3,2.0,100559,0.014349417130655993,0.07945194361917464
5,0.4,2.0,72144,0.01498437131762881,0.07060798842317174
10,0.0,0.5,124105,0.0212967437742008,0.0726860843467784
10,0.05,0.5,124105,0.0212967437742008,0.0726860843467784
10,0.1,0.5,124105,0.0212967437742008,0.0726860843467784
10,0.15,0.5,100135,0.021678862810615224,0.06765781844745931
10,0.2,0.5,100135,0.021678862810615224,0.06765781844745931
10,0.3,0.5,100135,0.021678862810615224,0.06765781844745931
10,0.4,0.5,71838,0.02308835911919334,0.06580114955239971
10,0.0,0.75,124105,0.02186720071871953,0.08133780000467937
10,0.05,0.75,124105,0.02186720071871953,0.08133780000467937
10,0.1,0.75,124105,0.02186720071871953,0.08133780000467937
10,0.15,0.75,100135,0.022148126382147693,0.07452835513458549
10,0.2,0.75,100135,0.022148126382147693,0.07452835513458549
10,0.3,0.75,100135,0.022148126382147693,0.07452835513458549
10,0.4,0.75,71838,0.02338490838292372,0.07002088879311738
10,0.0,1.0,124105,0.02240408503357977,0.08895492616321268
10,0.05,1.0,124105,0.02240408503357977,0.08895492616321268
10,0.1,1.0,124105,0.02240408503357977,0.08895492616321268
10,0.15,1.0,100135,0.022603813586830685,0.08084444685716126
10,0.2,1.0,100135,0.022603813586830685,0.08084444685716126
10,0.3,1.0,100135,0.022603813586830685,0.08084444685716126
10,0.4,1.0,71838,0.0236762857059428,0.07403679534444459
10,0.0,1.5,124105,0.023364691544745766,0.10174342827365163
10,0.05,1.5,124105,0.023364691544745766,0.10174342827365163
10,0.1,1.5,124105,0.023364691544745766,0.10174342827365163
10,0.15,1.5,100135,0.023458035022504674,0.09180937876242432
10,0.2,1.5,100135,0.023458035022504674,0.09180937876242432
10,0.3,1.5,100135,0.023458035022504674,0.09180937876242432
10,0.4,1.5,71838,0.024238812858778512,0.08137307475274862
10,0.0,2.0,124105,0.0241802917942646,0.11199875006937357
10,0.05,2.0,124105,0.0241802917942646,0.11199875006937357
10,0.1,2.0,124105,0.0241802917942646,0.11199875006937357
10,0.15,2.0,100135,0.024220661069956184,0.10079826732645916
10,0.2,2.0,100135,0.024220661069956184,0.10079826732645916
10,0.3,2.0,100135,0.024220661069956184,0.10079826732645916
10,0.4,2.0,71838,0.024768067019936137,0.08773997238663635
20,0.0,0.5,122418,0.0461783520890744,0.11589500418347
20,0.05,0.5,122418,0.0461783520890744,0.11589500418347
20,0.1,0.5,122418,0.0461783520890744,0.11589500418347
20,0.15,0.5,98729,0.04638698750419049,0.10656195783601165
20,0.2,0.5,98729,0.04638698750419049,0.10656195783601165
20,0.3,0.5,98729,0.04638698750419049,0.10656195783601165
20,0.4,0.5,70819,0.04939159308523527,0.10331649690373378
20,0.0,0.75,122418,0.04705583957701064,0.12867748960881745
20,0.05,0.75,122418,0.04705583957701064,0.12867748960881745
20,0.1,0.75,122418,0.04705583957701064,0.12867748960881745
20,0.15,0.75,98729,0.04724583466320188,0.11692689521981864
20,0.2,0.75,98729,0.04724583466320188,0.11692689521981864
20,0.3,0.75,98729,0.04724583466320188,0.11692689521981864
20,0.4,0.75,70819,0.04985285433142242,0.10958898490386057
20,0.0,1.0,122418,0.04791640521971738,0.13983225737133642
20,0.05,1.0,122418,0.04791640521971738,0.13983225737133642
20,0.1,1.0,122418,0.04791640521971738,0.13983225737133642
20,0.15,1.0,98729,0.048071868911181065,0.12639365001728123
20,0.2,1.0,98729,0.048071868911181065,0.12639365001728123
20,0.3,1.0,98729,0.048071868911181065,0.12639365001728123
20,0.4,1.0,70819,0.05031005292300664,0.11553362641434382
20,0.0,1.5,122418,0.04951557984142777,0.15847000734342956
20,0.05,1.5,122418,0.04951557984142777,0.15847000734342956
20,0.1,1.5,122418,0.04951557984142777,0.15847000734342956
20,0.15,1.5,98729,0.04960187972848553,0.14269157678438948
20,0.2,1.5,98729,0.04960187972848553,0.14269157678438948
20,0.3,1.5,98729,0.04960187972848553,0.14269157678438948
20,0.4,1.5,70819,0.05120424686598149,0.12633299291783828
20,0.0,2.0,122418,0.050910078609302085,0.17338619164106583
20,0.05,2.0,122418,0.050910078609302085,0.17338619164106583
20,0.1,2.0,122418,0.050910078609302085,0.17338619164106583
20,0.15,2.0,98729,0.05095130400709546,0.15592616829132044
20,0.2,2.0,98729,0.05095130400709546,0.15592616829132044
20,0.3,2.0,98729,0.05095130400709546,0.15592616829132044
20,0.4,2.0,70819,0.05206012239848939,0.13564505396258342
40,0.0,0.5,117598,0.08317474798516557,0.14175453564753518
40,0.05,0.5,117598,0.08317474798516557,0.14175453564753518
40,0.1,0.5,117598,0.08317474798516557,0.14175453564753518
40,0.15,0.5,94916,0.0831496771498207,0.1296209348559534
40,0.2,0.5,94916,0.0831496771498207,0.1296209348559534
40,0.3,0.5,94916,0.0831496771498207,0.1296209348559534
40,0.4,0.5,68022,0.08729795225610772,0.12401465244010705
40,0.0,0.75,117598,0.08435283863287528,0.15646272354534618
40,0.05,0.75,117598,0.08435283863287528,0.15646272354534618
40,0.1,0.75,117598,0.08435283863287528,0.15646272354534618
40,0.15,0.75,94916,0.08441261458977845,0.14171275427666094
40,0.2,0.75,94916,0.08441261458977845,0.14171275427666094
40,0.3,0.75,94916,0.08441261458977845,0.14171275427666094
40,0.4,0.75,68022,0.08802911720770297,0.13131705341567962
40,0.0,1.0,117598,0.08554782718119343,0.16920115604460204
40,0.05,1.0,117598,0.08554782718119343,0.16920115604460204
40,0.1,1.0,117598,0.08554782718119343,0.16920115604460204
