cp_type,horizon,decile,n_contracts_selected,n_priced,hit_rate
call,1,1,11508,11395,0.9901807438303789
call,1,2,12168,12051,0.9903846153846154
call,1,3,11306,11214,0.9918627277551743
call,1,4,15682,15564,0.9924754495600051
call,1,5,10779,10702,0.9928564801929678
call,1,6,13416,13345,0.9947078115682767
call,1,7,12922,12837,0.9934220708868596
call,1,8,12302,12231,0.9942285807185823
call,1,9,13246,13157,0.9932809904876944
call,1,10,12170,12084,0.9929334428923583
call,5,1,11508,11338,0.9852276677094195
call,5,2,12168,11984,0.9848783694937541
call,5,3,11306,11182,0.9890323721917565
call,5,4,15682,15532,0.990434893508481
call,5,5,10779,10671,0.9899805176732536
call,5,6,13416,13301,0.9914281454979129
call,5,7,12922,12815,0.9917195480575762
call,5,8,12302,12179,0.9900016257519103
call,5,9,13246,13141,0.9920730786652574
call,5,10,12170,12075,0.9921939194741167
call,10,1,11508,11235,0.9762773722627737
call,10,2,12168,11901,0.9780571992110454
call,10,3,11306,11137,0.9850521846807005
call,10,4,15682,15437,0.984376992730519
call,10,5,10779,10637,0.9868262362000185
call,10,6,13416,13248,0.9874776386404294
call,10,7,12922,12757,0.9872310787803745
call,10,8,12302,12132,0.9861811087628028
call,10,9,13246,13077,0.9872414313755096
call,10,10,12170,12026,0.9881676253081347
call,20,1,11508,10977,0.9538581856100105
call,20,2,12168,11680,0.9598948060486522
call,20,3,11306,10946,0.9681584999115513
call,20,4,15682,15194,0.9688815202142584
call,20,5,10779,10476,0.9718897856944058
call,20,6,13416,13089,0.9756261180679785
call,20,7,12922,12600,0.9750812567713976
call,20,8,12302,11982,0.9739879694358641
call,20,9,13246,12920,0.9753887966178469
call,20,10,12170,11844,0.9732128184059162
call,40,1,11508,10299,0.8949426485922837
call,40,2,12168,11075,0.9101742274819198
call,40,3,11306,10337,0.9142932955952592
call,40,4,15682,14523,0.9260936105088636
call,40,5,10779,10052,0.9325540402634753
call,40,6,13416,12450,0.9279964221824687
call,40,7,12922,12081,0.9349171954805757
call,40,8,12302,11525,0.9368395382864575
call,40,9,13246,12400,0.9361316623886456
call,40,10,12170,11345,0.9322103533278554
call,60,1,11508,9434,0.8197775460549184
call,60,2,12168,10248,0.8422090729783037
call,60,3,11306,9644,0.8529984079249956
call,60,4,15682,13479,0.8595204693278918
call,60,5,10779,9358,0.8681695890156786
call,60,6,13416,11580,0.8631484794275492
call,60,7,12922,11295,0.87409069803436
call,60,8,12302,10784,0.8766054300113802
call,60,9,13246,11678,0.8816246414011777
call,60,10,12170,10626,0.8731306491372227
put,1,1,11521,11459,0.9946185226976825
put,1,2,12153,12099,0.995556652678351
put,1,3,11323,11271,0.9954075774971297
put,1,4,15699,15617,0.9947767373718072
put,1,5,10811,10766,0.9958375728424752
put,1,6,13426,13369,0.9957545061820349
put,1,7,12948,12895,0.995906703738029
put,1,8,12312,12266,0.9962638076673165
put,1,9,13241,13186,0.9958462351786119
put,1,10,12177,12124,0.995647532232898
put,5,1,11521,11448,0.9936637444666262
put,5,2,12153,12049,0.9914424421953427
put,5,3,11323,11252,0.9937295769672349
put,5,4,15699,15600,0.9936938658513281
put,5,5,10811,10750,0.994357598742022
put,5,6,13426,13347,0.9941158945329956
put,5,7,12948,12880,0.9947482236638863
put,5,8,12312,12236,0.9938271604938271
put,5,9,13241,13165,0.9942602522468091
put,5,10,12177,12099,0.9935944813993595
put,10,1,11521,11375,0.9873274889332523
put,10,2,12153,12006,0.9879042211799556
put,10,3,11323,11222,0.9910801024463481
put,10,4,15699,15540,0.9898719663672846
put,10,5,10811,10722,0.9917676440662289
put,10,6,13426,13310,0.9913600476687026
put,10,7,12948,12838,0.9915044794562867
put,10,8,12312,12198,0.9907407407407407
put,10,9,13241,13115,0.9904841024091836
put,10,10,12177,12058,0.9902274780323561
put,20,1,11521,11181,0.9704886728582588
put,20,2,12153,11843,0.9744918950053485
put,20,3,11323,11049,0.9758014660425682
put,20,4,15699,15310,0.9752213516784508
put,20,5,10811,10600,0.9804828415502729
put,20,6,13426,13154,0.979740801430061
put,20,7,12948,12688,0.9799196787148594
put,20,8,12312,12072,0.9805068226120858
put,20,9,13241,12962,0.9789290839060494
put,20,10,12177,11884,0.9759382442309271
put,40,1,11521,10748,0.9329051297630414
put,40,2,12153,11407,0.9386159795935161
put,40,3,11323,10597,0.935882716594542
put,40,4,15699,14813,0.9435632842856233
put,40,5,10811,10232,0.9464434372398483
put,40,6,13426,12673,0.94391479219425
put,40,7,12948,12305,0.9503398208217485
put,40,8,12312,11667,0.9476120857699805
put,40,9,13241,12551,0.9478891322407673
put,40,10,12177,11457,0.9408721359940873
put,60,1,11521,10233,0.888204148945404
put,60,2,12153,10900,0.8968978852958117
put,60,3,11323,10119,0.8936677558950809
put,60,4,15699,14200,0.9045162112236448
put,60,5,10811,9740,0.9009342336509111
put,60,6,13426,12137,0.9039922538358409
put,60,7,12948,11733,0.9061631139944393
put,60,8,12312,11175,0.9076510721247564
put,60,9,13241,12006,0.9067290990106488
put,60,10,12177,10937,0.8981686786564835
straddle,1,1,0,11301,
straddle,1,2,0,11977,
straddle,1,3,0,11167,
straddle,1,4,0,15478,
straddle,1,5,0,10663,
straddle,1,6,0,13286,
straddle,1,7,0,12801,
straddle,1,8,0,12191,
straddle,1,9,0,13096,
straddle,1,10,0,12028,
straddle,5,1,0,11239,
straddle,5,2,0,11892,
straddle,5,3,0,11117,
straddle,5,4,0,15442,
straddle,5,5,0,10626,
straddle,5,6,0,13238,
straddle,5,7,0,12767,
straddle,5,8,0,12134,
straddle,5,9,0,13071,
straddle,5,10,0,12007,
straddle,10,1,0,11130,
straddle,10,2,0,11804,
straddle,10,3,0,11070,
straddle,10,4,0,15343,
straddle,10,5,0,10582,
straddle,10,6,0,13175,
straddle,10,7,0,12698,
straddle,10,8,0,12075,
straddle,10,9,0,12996,
straddle,10,10,0,11943,
straddle,20,1,0,10832,
straddle,20,2,0,11561,
straddle,20,3,0,10847,
straddle,20,4,0,15050,
straddle,20,5,0,10394,
straddle,20,6,0,12981,
straddle,20,7,0,12501,
straddle,20,8,0,11909,
straddle,20,9,0,12806,
straddle,20,10,0,11729,
straddle,40,1,0,10045,
straddle,40,2,0,10826,
straddle,40,3,0,10093,
straddle,40,4,0,14217,
straddle,40,5,0,9858,
straddle,40,6,0,12216,
straddle,40,7,0,11855,
straddle,40,8,0,11311,
straddle,40,9,0,12165,
straddle,40,10,0,11110,
straddle,60,1,0,8849,
straddle,60,2,0,9699,
straddle,60,3,0,9081,
straddle,60,4,0,12780,
straddle,60,5,0,8892,
straddle,60,6,0,10996,
straddle,60,7,0,10724,
straddle,60,8,0,10273,
straddle,60,9,0,11071,
straddle,60,10,0,10069,
