cp_type,horizon,decile,mean,se,t_stat,n_events,n_quarters
call,1,1,-0.01561707701546549,0.002673783604071256,-5.840815611138476,11395,67
call,1,2,-0.007372142841193193,0.002493248026649691,-2.9568429463872996,12051,67
call,1,3,-0.005636698138106034,0.002447240366584032,-2.3032874968362793,11214,67
call,1,4,-0.002616165016919373,0.002150289579097558,-1.216657069052688,15564,67
call,1,5,0.005431320737799902,0.0027214330367302053,1.9957576264031907,10702,67
call,1,6,0.0065863702959906775,0.0027666110902903013,2.380663592040892,13345,67
call,1,7,0.013520916143013382,0.0030577376317410254,4.421869294035798,12837,67
call,1,8,0.010972636051169006,0.002459418162965918,4.461476383477884,12231,67
call,1,9,0.016929467437489538,0.002503689572557951,6.761807702938653,13157,67
call,1,10,0.024438166613158667,0.00284104633067439,8.601819107736159,12084,67
call,5,1,-0.019926398331337535,0.007323170504617504,-2.721007017216556,11338,67
call,5,2,-0.0064361054902766935,0.007604630484089757,-0.8463403322149805,11984,67
call,5,3,0.001748365611867311,0.007987417105365047,0.21888998518594402,11182,67
call,5,4,-0.0014942350581993301,0.007331913993906419,-0.20379877061312973,15532,67
call,5,5,0.013974338868946199,0.00825569932570166,1.6926899003505687,10671,67
call,5,6,0.017822469137064933,0.008466288235384358,2.1051101310934537,13301,67
call,5,7,0.0267154635738997,0.0076192373043909925,3.5063173000929484,12815,67
call,5,8,0.027362086039430838,0.008180620755391456,3.3447444708151024,12179,67
call,5,9,0.03916953031176924,0.008010239872447884,4.889932253651632,13141,67
call,5,10,0.06038726243803591,0.008941563646209103,6.75354611647124,12075,67
call,10,1,-0.014074351800470055,0.013870750978817464,-1.0146784281516925,11235,67
call,10,2,-0.00030857998739411337,0.013890320734228368,-0.02221546883605892,11901,67
call,10,3,0.011556376248663038,0.014093544943729448,0.819976542083881,11137,67
call,10,4,0.012782719160313608,0.014079120582004416,0.9079202842152061,15437,67
call,10,5,0.022901635559068934,0.01463188682446595,1.565186761886044,10637,67
call,10,6,0.03369947150470673,0.0159593579298587,2.1115806571176448,13248,67
