cp_type,horizon,mean_spread,se,t_stat,n_quarters,n_d1,n_d10
call,1,0.04005524362862416,0.0030048409934167243,13.330237345796595,67,11395,12084
call,5,0.08031366076937345,0.006054227506051556,13.26571568199167,67,11338,12075
call,10,0.09536550611694661,0.008037039086963736,11.865751190837392,67,11235,12026
call,20,0.11288630488826135,0.013527615780691993,8.344878115874957,67,10977,11844
call,40,0.11762636592946335,0.020738954303349662,5.67175973334706,67,10299,11345
call,60,0.14381035673451056,0.030682578430566355,4.687036230020517,65,9434,10626
put,1,-0.024875685060685982,0.001883479865241965,-13.207300762671162,67,11459,12124
put,5,-0.05113390157403054,0.003921419962721987,-13.039639227657936,67,11448,12099
put,10,-0.05858403220274433,0.0045027918279222255,-13.010601964643216,67,11375,12058
put,20,-0.06464192111961245,0.00817306050771277,-7.909145057547418,67,11181,11884
put,40,-0.08265421280033827,0.012448614973101072,-6.639631234393323,67,10748,11457
put,60,-0.10793658705209917,0.01716497488342125,-6.288187881728244,65,10233,10937
straddle,1,0.0026545897834087165,0.0008024749183259014,3.3080034313678492,67,11301,12028
straddle,5,0.007672412187873762,0.0016660015742869776,4.6052850767307545,67,11239,12007
straddle,10,0.012443675203143949,0.002553979572519402,4.872268884621009,67,11130,11943
straddle,20,0.021829306917172477,0.004389384125484493,4.97320496295434,67,10832,11729
straddle,40,0.02796102533652832,0.005479783401020751,5.102578567488609,67,10045,11110
straddle,60,0.039819154320270944,0.007622256090816325,5.224064088878757,65,8849,10069
