group,mean_spread,se,t_stat,p_value,ci_low,ci_high,n_events,n_quarters,tier
Chems,0.009769950701870443,0.01655867865087561,0.5900199471141869,0.5571046191062081,-0.022685059453845753,0.04222496085758664,4113,70,1
Utils,0.02190595907733601,0.009108660434046954,2.4049594598404904,0.01882187619857456,0.00405298462660398,0.03975893352806804,6644,71,1
Durbl,0.023447208211845497,0.019940172395121296,1.1758779085371527,0.24357152133904947,-0.015635529682592242,0.06252994610628324,4192,72,1
BusEq,0.02368544785541219,0.009763793382540091,2.4258448460991833,0.01781620855723509,0.004548412825633612,0.04282248288519077,33792,72,1
Hlth,0.026627735174126387,0.011283443579496876,2.359894387428993,0.021032584221999606,0.004512185758312508,0.04874328458994026,18940,72,1
NoDur,0.026788867743979466,0.009756402560775009,2.7457731040826863,0.007642523328967421,0.007666318724860448,0.045911416763098484,7834,72,1
Enrgy,0.030200968408786284,0.014593714225559499,2.0694504457194434,0.04214439666109038,0.0015972885266896664,0.0588046482908829,9673,72,1
Manuf,0.03061845959895013,0.007956280458596645,3.8483383986128006,0.00025729295135401564,0.015024149900100706,0.04621276929779955,17898,72,1
Other,0.030764786159780826,0.010480003561999162,2.9355702006948694,0.004483372542728237,0.010223979178262468,0.051305593141299184,28075,72,1
Shops,0.030923940789926125,0.01621904265657357,1.9066440260820616,0.060613764921269464,-0.000865382816958072,0.06271326439681033,18306,72,1
Telcm,0.03482558150544665,0.01830980940319707,1.902017696555911,0.06122583812473237,-0.0010616449248196033,0.07071280793571291,6094,72,1
Money,0.038356890331385424,0.007112981955925139,5.392518998228865,8.652013763210675e-07,0.02441544569777215,0.052298334964998694,27151,72,1
