buf_multiplier,base_unit_fraction,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage_vs_initial_capital,pct_liquidity_capped
1.5,0.003,0.08000111548403144,0.08238668326253205,0.975577236310832,-0.2583004799736312,7.769940765219911,0.1214543147939913
2.0,0.004,0.09598917692740638,0.10397604186836296,0.9337656538748231,-0.32555245559723966,12.398598691940487,0.18016895885592366
2.5,0.005,0.10842172055631272,0.12397370707771427,0.8925608150533705,-0.38758628402997297,17.65014796440672,0.23841074878182394
3.0,0.006,0.11617795933418451,0.1423345891202232,0.8436075561205786,-0.4456349449014232,22.520323990841806,0.32717469653720843
3.5,0.007,0.1151697570161272,0.1612416098362815,0.7568570960227898,-0.5034956504493497,23.86412809420451,0.4676066084248767
4.0,0.008,0.12094303472121037,0.17672037380615407,0.7345339073034454,-0.5540246276054848,26.25384519841765,0.5619871406741055
5.0,0.01,0.12232578991601839,0.21316839526827078,0.6477597238383409,-0.633519713793337,25.691259323826444,0.6809387884554393
6.0,0.012,0.11716160610147308,0.24617653357187144,0.5724271402094914,-0.7313313726034859,23.271401597381914,0.7501369547040336
7.0,0.014,0.12031573439792398,0.2749142719669176,0.5492493365516438,-0.7525688250850363,24.284839068133298,0.7919441801458929
8.0,0.016,0.1184119623559925,0.31874364348774614,0.5074039627345328,-0.8286223724361471,23.155844222143006,0.8206152870282271
10.0,0.02,0.11688540917829426,0.3260810266908171,0.4985901033645925,-0.791752931830009,20.319297272638064,0.8597814491249315
12.0,0.024,0.09203323491328441,0.3474697752186428,0.4237327865741969,-0.8131548088803613,14.248148984388433,0.8867629674480293
