base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_leverage_capped_quarters,pct_liquidity_capped,total_transaction_costs,cost_pct_of_gross_pnl,final_nav,strategy
0.001,0.01,0.016055886333485647,0.02194143059395227,0.8511581638323183,-0.06534216265510663,0.4755414944002546,0.0,0.20522377194770405,740248.2816577369,0.16910107947844422,13637300.838317567,extreme
0.0015,0.01,0.022182307959986325,0.03340719214050322,0.8193717653507593,-0.08568906965093807,0.7141736385574338,0.0,0.2877442273534636,1074012.202783866,0.16767784635769997,15331200.090393636,extreme
0.002,0.01,0.0272778391285462,0.04510281434992444,0.7843817661230368,-0.10336809324892207,0.9487850131067885,0.0,0.3565792155606674,1387257.5030237772,0.16759357376509212,16890252.61778928,extreme
0.003,0.01,0.03446383338600523,0.06831871355723004,0.7024196159204084,-0.13815262652922222,1.3870739205671965,0.0,0.4590746294732551,1936492.6101329613,0.17163218656115647,19346313.074119896,extreme
0.004,0.01,0.038539313261320984,0.0887415888613726,0.6298529133182432,-0.17041058730959566,1.752680902087982,0.1282051282051282,0.6173019247008124,2367230.4403804904,0.1786146691074518,20886050.78343883,extreme
0.005,0.01,0.039249042174501536,0.10179184833130231,0.5632133731531439,-0.21371201884164473,1.9388984390986554,0.4358974358974359,0.8202544914538625,2549517.492437997,0.18588828769210905,21165803.274090424,extreme
0.0075,0.01,0.03603322799501352,0.11714038414817461,0.4350758534453496,-0.3066750367360026,1.9655265341516257,0.8205128205128205,0.9782197245435751,2474589.9820531104,0.1995537107865834,19926031.245680436,extreme
0.01,0.01,0.0334332693445063,0.11764609758919012,0.39167216566296503,-0.3328337348517592,1.8840458399156894,0.8974358974358975,0.9986314532801445,2311469.8320058556,0.20481140008648788,18974375.736306116,extreme
0.015,0.01,0.030937313754358264,0.12145014131322401,0.34250121743307127,-0.377104187051579,1.7904226251213118,0.8974358974358975,0.9990391054945695,2119023.1708688894,0.2073306896656499,18101476.14009233,extreme
0.02,0.01,0.029953243071003444,0.1263909154477823,0.31556156771474586,-0.4096359078088935,1.745745813488474,0.8974358974358975,0.999213813586466,2014232.9633217927,0.2059092506489258,17767906.289644793,extreme
0.03,0.01,0.02906106970521871,0.14054056690492853,0.272926647288815,-0.46318083281273886,1.7056326516037033,0.8974358974358975,0.9994467577089946,1901228.0182423866,0.2028677197534583,17470534.135701664,extreme
0.05,0.01,0.02752361660030367,0.1636544008757312,0.21864869342730756,-0.543454623872086,1.6499991364047908,0.8974358974358975,0.9997379378621554,1775541.673269773,0.20304268316587992,16969130.36112807,extreme
0.001,0.05,0.019920365889031233,0.025553065272209175,0.941131845387987,-0.07967390499712801,0.5640606945186553,0.0,0.04495821564802143,939353.5372768131,0.16705129472182365,14683790.772026736,extreme
0.0015,0.05,0.028451358337372,0.041942389659717284,0.8899777890312184,-0.11141916698389014,0.9192563053172463,0.0,0.07602713799027458,1512757.314057943,0.17224109270850776,17270032.496838465,extreme
