base_unit_fraction,liquidity_cap_frac,annualized_return,annualized_vol,sharpe,max_drawdown,avg_leverage,pct_liquidity_capped,n_quarters_leverage_capped,total_transaction_costs,final_nav,strategy
0.002,0.005,0.0213263418719436,0.03713055900847026,0.7028973785243353,-0.0926532238330751,0.7484248074321753,0.48600879364062544,0,1031672.4141065312,15083085.613995489,extreme
0.002,0.0075,0.024914794042608657,0.04172595099461963,0.7567000968687492,-0.09860037983318072,0.8657969906927834,0.4094866493899776,0,1235927.929595559,16149418.44964946,extreme
0.002,0.01,0.0272778391285462,0.04510281434992444,0.7843817661230368,-0.10336809324892207,0.9487850131067885,0.3565792155606674,0,1387257.5030237772,16890252.61778928,extreme
0.002,0.015,0.02977358563012955,0.04954871809793626,0.7987024815885294,-0.11246538186668581,1.05576771718585,0.2822700404740413,0,1592601.4226666093,17707640.856514305,extreme
0.002,0.02,0.03130693938191387,0.05266267691895587,0.8022374951210545,-0.12138588808517387,1.1260498083080521,0.2326529423754477,0,1733404.089747962,18228295.892044526,extreme
0.002,0.03,0.03343034637114606,0.05664415908056866,0.8133819264077292,-0.12971806741692585,1.2189019442691444,0.17197099845674518,0,1926303.6200401005,18973330.528654195,extreme
0.002,0.05,0.036160151948454455,0.06061045533776225,0.8448928767284823,-0.1372611925541192,1.3181648196845674,0.11128905453804269,0,2139735.409352148,19973628.98370922,extreme
0.002,0.005,0.03007895036651753,0.059656228283944186,0.6722050849228213,-0.15557818984412314,1.7403345738556322,0.9576449557420061,65,2636287.7163673798,17810189.990434106,rankweighted
0.002,0.0075,0.032197188163277435,0.060980873614835465,0.7188171111115164,-0.1511548736530182,1.808892011327559,0.9867139520802699,69,2845587.6762867356,18537211.91456803,rankweighted
0.002,0.01,0.03364815018399159,0.061517396551968716,0.7554609860241924,-0.14842822888260343,1.8490281388366923,0.9944814462416746,70,2982838.001883543,19051363.409632258,rankweighted
0.002,0.015,0.035137559788123385,0.062102183693755864,0.7931444508227317,-0.14446132883480017,1.8938348962909248,0.9940143586194966,70,3154709.001170841,19593192.84461745,rankweighted
0.002,0.02,0.036062189554375346,0.06274996947549365,0.8130787823235318,-0.14312684550011032,1.9232786017544403,0.9936856673298158,70,3268885.702104222,19936882.632255726,rankweighted
0.002,0.03,0.03723710607809827,0.06364189635460854,0.8375834053872715,-0.14152865740111206,1.9633993194136408,0.9934319407202375,70,3419861.2026893403,20381860.51241176,rankweighted
0.002,0.05,0.0388213761505698,0.06452376845497551,0.8750702486702858,-0.13962889570946585,2.0066061951997773,0.9932012801660756,70,3577067.750407052,20996808.33989481,rankweighted
0.002,0.005,0.017916029832989455,0.034834813125108936,0.6090158740978133,-0.10275268727733398,0.6659681348789164,0.45208630579739684,0,927838.6042313792,14131864.88249937,balanced
0.002,0.0075,0.02161211060163648,0.039228628528678436,0.6760902270048991,-0.10854472565429991,0.7695846630416342,0.3814168826252803,0,1105724.016924811,15165493.227676872,balanced
0.002,0.01,0.02417241669707204,0.04240917943714973,0.7171106314515399,-0.11308943946316997,0.8449240684080513,0.333080977200594,0,1238984.9177141187,15923113.352007661,balanced
0.002,0.015,0.02696984523162671,0.046642458903219594,0.7476627529203422,-0.11914338032271807,0.944455689094398,0.2668083743412049,0,1422834.8206551024,16791898.644600492,balanced
0.002,0.02,0.028959810945030195,0.049378035344498424,0.7733299438019039,-0.11986232215875543,1.0148994592532887,0.22365547564278018,0,1555790.1112202052,17437083.304231353,balanced
0.002,0.03,0.032373394661606936,0.0535580218109454,0.8243591233141415,-0.11868686645717506,1.1225780591539642,0.17380543342165797,0,1756872.545905709,18598941.408458497,balanced
0.002,0.05,0.036246634743064776,0.05902276060268424,0.8704469147501629,-0.1148581788018006,1.2549482452379859,0.12072329150045133,0,2003022.3194522623,20006122.6502178,balanced
